0.8333333333333334,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],50 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,60.37546801014345,63.99799609075206,50312.89000845287,1.225726569387238,49.256881198492906,41.04740099874409,5293.235308999639,964.6739130434783,2944,2840000,5106246.0181925865,2840000,.,503.32235054347825,1481781,2664203.6377054327,1481781
Austin,63.478689145973746,67.92219738619193,52898.90762164479,1.3049269079520347,48.64539826648056,40.537831888733805,5162.628889541936,932.8621908127209,707.5,660000,4816021.296251135,660000,.,571.0473498233216,404016,2948105.5454942402,404016
Baltimore2,60.37745029626894,64.60387181700777,50314.54191355745,1.223033434941925,49.36696624253443,41.13913853544536,5316.921631712579,1296.8393613554904,1534.5,1990000,6895193.253247333,1990000,.,776.6783968719452,1191813,4129538.1692122933,1191813
Boston,61.541690600746875,67.69585966082157,51284.74216728907,1.1972431356119253,51.40283437022354,42.83569530851962,5764.498283615572,1563.9892556970801,2308.2,3610000,9015613.380059015,3610000,.,927.8732345550646,2141717,5348723.668005499,2141717
Buffalo,73.27659816495958,76.20766209155798,61063.83180413299,1.1713810846497632,62.55572940796538,52.129774506637816,8537.3201024106,1440.1622718052738,739.5,1065000,12295126.313816482,1065000,.,718.2177146720758,531122,6131654.533377313,531122
Charlotte,66.90817657705539,71.59174893744927,55756.81381421282,1.225387772957672,54.60163554232441,45.50136295193701,6504.27184435133,862.4820316243412,626.1,540000,5609817.594553136,540000,.,966.0693180003194,604856,6283577.46476117,604856
Chicago,59.830534500000006,64.61697726000001,49858.778750000005,1.1982844246373678,49.930161212023,41.608467676685834,5438.928093493727,1830.0112091232515,4103.8,7510000,9953299.376708876,7510000,.,936.0439105219552,3841337,5091075.521681591,3841337
Cincinnati,67.51882116890982,74.2707032858008,56265.68430742485,1.2812488239067774,52.697664894654714,43.914720745545594,6058.569908965202,860.24750980984,1325.2,1140000,5211869.677196144,1140000,.,613.3157259281618,812766,3715816.2018035096,812766
Cleveland,70.27014784368207,77.29716262805029,58558.456536401725,1.1648731509913355,60.324291777075004,50.2702431475625,7939.110457461318,1068.6095931997572,1647,1760000,8483809.596315678,1760000,.,754.1584699453551,1242099,5987347.395326196,1242099
Columbus,67.72593293272408,77.20756354330544,56438.277443936735,1.1931736027090176,56.76117270693641,47.30097725578034,7028.944266154506,973.9169371991493,893.3,870000,6845607.871436719,870000,.,758.8257024515841,677859,5333743.570257728,677859
Dallas-Fort Worth,66.03146949483623,76.59650461401002,55026.22457903019,1.2332624692753114,53.54210570734191,44.61842142278493,6254.293745409314,869.5652173913044,3737.5,3250000,5438516.300355926,3250000,.,528.8577926421405,1976606,3307631.984732715,1976606
Denver,65.00214079321759,76.05250472806458,54168.450661014656,1.3310249643517464,48.83615449307204,40.696795410893365,5203.197351400553,1329.5186805789297,1188.4,1580000,6917748.077425845,1580000,.,811.9421070346684,964912,4224695.020813371,964912
Detroit,59.74012668400049,69.89594822028057,49783.438903333736,1.1948625976389575,49.997486574646054,41.66457214553838,5453.605581915388,1369.2488100986411,2899.4,3970000,7467342.953784952,3970000,.,717.3484169138442,2079880,3912135.330659508,2079880
Grand Rapids,70.9393812037455,83.70846982041968,59116.15100312125,1.233456986217629,57.512651025861615,47.927209188218015,7216.292927970581,1190.58976132826,578.2,688399,8591644.474787304,688399,.,583.4226911103424,337335,4210149.039877129,337335
Hampton Roads,64.89864925681238,85.66621701899234,54082.207714010314,1.3266315300264815,48.91987548005655,40.76656290004713,5221.05257429522,770.8418174413869,1718.9,1325000,4024605.6553267594,1325000,.,406.65483739600904,698999,2123166.285636037,698999
Hartford,70.55011752171079,84.66014102605294,58791.76460142566,1.2145010966126184,58.08979318214128,48.40816098511773,7361.851301746987,1320.2112337974077,624.9,825000,9719198.790112441,825000,.,899.2942870859338,561969,6620470.81803721,561969
Honolulu,61.85177096411715,73.60360744729941,51543.14247009763,1.457400295504332,42.439795816504486,35.36649651375374,3929.4697712755155,2328.0373051224947,359.2,836231,9147952.216880556,836231,.,1218.034521158129,437518,4786229.831260916,437518
Houston,61.86592987183512,73.62045654748378,51554.94155986261,1.2722002879394259,48.62908023078579,40.52423352565483,5159.165876153781,951.0379431344899,3049.3,2900000,4906562.50314694,2900000,.,577.114747647001,1759796,2977430.712685508,1759796
Indianapolis,66.18181659192213,78.0945435784681,55151.51382660178,1.1891581230137593,55.65434512963955,46.37862094136629,6757.491908941137,778.1620553359684,1214.4,945000,5258423.792777811,945000,.,514.6335638998682,624971,3477632.1441229014,624971
Inland Empire2,65.10221093956217,72.91447625230963,54251.84244963514,1.3158819753742408,49.474202214105794,41.22850184508816,5340.045779819064,1078.3820073850286,1191.6,1285000,5758609.287569232,1285000,.,643.6329305135952,766953,3437029.3143417006,766953
Jacksonville,55.540281389808555,57.20648983150281,46283.567824840466,1.308047643913695,42.46044220807687,35.38370184006406,3933.2939699637545,547.5701574264202,1314.9,720000,2153754.3983374424,720000,.,337.5785230816031,443882,1327795.5692261397,443882
Kansas City,63.2199184408059,65.11651599403008,52683.26536733825,1.2596090368446629,50.190111845475975,41.825093204563316,5495.70873384796,587.9073539100907,1973.1,1160000,3230967.579577129,1160000,.,390.9122700319295,771309,2148339.976582807,771309
Las Vegas,58.291697709553844,60.04044864084045,48576.41475796154,1.329484525894616,43.84533747794402,36.537781231620016,4194.0559036199575,1175.4827875734677,595.5,700000,4930040.524826147,700000,.,623.2208228379513,371128,2613822.9712823974,371128
Los Angeles2,48.11622779676405,49.559714630666974,40096.85649730338,1.2360933047718667,38.92604839053341,32.43837365877784,3305.7348555581116,2243.04205212814,5091.3,11420000,7414902.294202587,7414902.294202587,.,1186.7479818513934,6042090,3923074.1683693966,3923074.1683693966
Louisville,62.48721285155351,64.98670136561566,52072.677376294596,1.3025339347915854,47.973577641608166,39.97798136800681,5021.015883050153,1106.8597977589507,731.8,810000,5557560.624857372,810000,.,610.6531839300355,446876,3066099.335547855,446876
Memphis,65.30803220505597,67.9203534932582,54423.360170879976,1.2608373515002151,51.79734890257558,43.16445741881299,5853.32239157892,973.6216460998529,883.3,860000,5698921.382042197,860000,.,507.457262538209,448237,2970310.957584242,448237
Milwaukee,64.48552107198695,67.06494191486644,53737.934226655794,1.1771971316163268,54.77886357355153,45.64905297795961,6546.563987589647,927.6018099547512,1326,1230000,6072604.603872749,1230000,.,582.7692307692307,772752,3815136.0592291662,772752
Minneapolis-St.Paul,63.564185114523426,66.10675251910436,52970.15426210286,1.2354179281430617,51.451564419229214,42.87630368269102,5775.432989313039,730.0860847771603,2753.1,2010000,4216563.259060408,2010000,.,474.96422214957687,1307624,2743124.037346073,1307624
Nashville,63.73443651931945,66.28381398009223,53112.03043276621,1.2975109840164123,49.12053717035298,40.933780975294155,5263.972303913566,451.2058776553266,1252.2,565000,2375135.2433406524,565000,.,395.8768567321514,495717,2083884.8095984037,495717
New Orleans,62.63669301231881,65.14216073281156,52197.24417693234,1.2846690927988274,48.757063872266286,40.63088656022191,5186.357742330432,1501.072194424589,699.5,1050000,7785097.397350899,1050000,.,735.8484631879915,514726,3816373.3742369898,514726
