,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t,
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2,
Atlanta,1.3522447679465692,1.2915585796126512,1.2597492146433538,1.240893079467488,1.225726569387238,1.212235646666648,1.2025352150152295,1.195563923486137,1.1893214778643948,0.3017660026153578,0.255849690335926,0.23091266515575554,0.2158313457561207,0.20353378603894096,0.19246629669123866,0.18443200740493648,0.17861797657136647,0.1733829578366256,-0.058232937514737744,0.4321174880791673,1.540516096806466,0.9967893248287015,-0.07361834671630048,1.5153211575109995,0.9943265755313344,0.8786485321697698,0.8661795091886685,
Austin,1.426150653096147,1.4003139436062155,1.3586810860714802,1.3288131567869899,1.3049269079520347,1.2888700542866616,1.2773678081599549,1.2690969416879858,1.265108159799453,0.35497896374431914,0.3366964569149751,0.30651443954440366,0.2842861805224387,0.2661470299739238,0.25376590761587564,0.24480156076310164,0.23830557800363003,0.2351576203421608,-0.06030476072440278,0.5047084964634967,1.6565025737154635,0.975695118335958,-0.08094668224274364,1.6258970874820786,0.977646587124917,0.9312568848234458,0.9244538999006185,
Baltimore,1.3415278293817852,1.294272678161559,1.2586520691285787,1.2365714332480808,1.223033434941925,1.2143662823884371,1.2079050813012584,1.2040907518677497,1.2022457558485753,0.2938091356417447,0.25794889888824546,0.23004136192758873,0.21234257683076316,0.20133419479571665,0.19422236244212251,0.18888752134370002,0.18572471935149368,0.1841912709956258,-0.051997053378008064,0.41018978988057786,1.5071037910199978,0.9837101768991012,-0.06576892489763825,1.4875082956468746,0.9811617936115805,0.836461204624062,0.8267714798376529,
Boston,1.325648879681454,1.2559543526404895,1.2254345337287071,1.207197605080799,1.1972431356119253,1.1905977100287723,1.1866052347068958,1.1828891685044345,1.1798759561696266,0.2819020600785343,0.22789572394646743,0.20329550250911396,0.18830164460671042,0.18002152676156466,0.17445545835950285,0.1710964863503692,0.16795989379792817,0.1654093110617333,-0.051620213899479295,0.38787889949965637,1.473851289351874,0.9532360239542587,-0.06423820097117322,1.4561153620255198,0.9466005641287275,0.7551787067326995,0.7425221939528542,
Buffalo,1.2477771132817665,1.2113826246289119,1.1906802761982174,1.1790012375949392,1.1713810846497632,1.1661290473210653,1.1614956058387502,1.158387437968984,1.157614937054179,0.22136365887043755,0.19176237224648404,0.1745248044584931,0.16466767125352877,0.15818346689912313,0.15368975703672344,0.14970849004316816,0.14702889829578444,0.14636179971956173,-0.034423258889040916,0.29570376503940116,1.3440719367543839,0.9794160832720965,-0.04124051593053283,1.336271278838896,0.976588457264908,0.8149659554149088,0.807309987766691,
Charlotte,1.3646366473808837,1.2900410771009638,1.258397202501825,1.2387012717627792,1.225387772957672,1.2193290088717623,1.21774889719031,1.217383629587133,1.2165063980151767,0.31088820080648194,0.25467406058053776,0.22983884969988044,0.21406346926900482,0.2032573432587161,0.19830071471562205,0.19700398809154906,0.19670398995847005,0.1959831425906815,-0.051861107063606283,0.41548469031141316,1.5151049194282364,0.9317405540191349,-0.06638987309751884,1.497095399585385,0.9252808317822186,0.713120612797639,0.7018524300448277,
Chicago,1.3161081482175765,1.2599015853713202,1.2318699042857018,1.2103694059250167,1.1982844246373678,1.188805486796232,1.1815739484059185,1.1760459405189148,1.1721614975084573,0.2746790090232143,0.2310336110647294,0.20853326236485764,0.190925607168779,0.18089088773933362,0.1729490103780352,0.16684740426509817,0.1621579137805197,0.15884947817067663,-0.0529050811147326,0.39116821836350923,1.4787072382042419,0.9898403803453293,-0.06546572960347066,1.458873892854464,0.9864869665590613,0.8472162747912054,0.8356922077330545,
Cincinnati,1.3893578112622955,1.3333596227484068,1.3042447050757657,1.2903500317173222,1.2812488239067774,1.2773637699667473,1.2731009316004391,1.2694061423644654,1.2651549601619831,0.3288416340986947,0.2877017893187073,0.2656241031657303,0.2549135239834141,0.24783524597774234,0.24479839941868317,0.24145560284266812,0.23854918667202296,0.23519461282896298,-0.04123795638328395,0.41415782602886075,1.5130959139598767,0.9562978203762058,-0.054487110116819934,1.5011413611161961,0.9512683154582853,0.7631060496474233,0.7530519368219496,
Cleveland,1.2715517925951088,1.2159000774329085,1.18896059886234,1.173938239626513,1.1648731509913355,1.1600264575735515,1.1559276711164435,1.153029011882468,1.1515515188480558,0.2402380385110177,0.19548460700384931,0.1730794791127551,0.16036411323039235,0.15261219782021046,0.14844281311123067,0.14490320005434112,0.142392403054029,0.14111017991872188,-0.04446237246620904,0.3321369130936285,1.393943684590441,0.9547577026455081,-0.05355756280356847,1.38125342330566,0.9494180555491145,0.7574391827141362,0.7469485247586884,
