1,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],60 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,52.31679,68.53499,52316.79,1.2220844387618242,42.809472357741214,42.809472357741214,5757.442678013603,757.4179384746532,5083.058909,3850000,4360790.36406705,3850000,.,418.87926898310906,2129188,2411673.3801784916,2129188
Austin,53.19888,67.56258,53198.880000000005,1.2986850640774117,40.963649672673014,40.963649672673014,5271.657172270806,1165.1270412957495,823.944485,960000,6142150.323853401,960000,.,704.5195526735032,580485,3713985.552856293,580485
Baltimore2,57.5626,71.37762,57562.600000000006,1.219096781650074,47.21741609561775,47.21741609561775,7004.131758130214,1249.8156960132164,1768.260718,2210000,8753873.808255786,2210000,.,601.542515293268,1063684,4213283.035231109,1063684
Boston,60.28802,74.15427,60288.020000000004,1.1922530135207596,50.566464765702406,50.566464765702406,8032.94987019235,876.2031495148894,4496.67409,3940000,7038495.976157759,3940000,.,683.9123624367448,3075331,5493833.723059193,3075331
Buffalo,60.07548,64.28076,60075.479999999996,1.1856225230260624,50.669988831411075,50.669988831411075,8065.875046975106,1174.0141455753533,949.73302,1115000,9469451.40159204,1115000,.,500.80074082293146,475627,4039396.19891033,475627
Charlotte,54.73937,66.78204,54739.37,1.2291117906328803,44.53571303861158,44.53571303861158,6231.128287081648,767.9222461130181,1126.416124,865000,4785022.030034102,865000,.,720.4326915334532,811507,4489108.523152467,811507
Chicago,47.50277,64.12874,47502.77,1.1997053834772908,39.59536287343765,39.59536287343765,4925.366220557687,1482.3418622036777,5498.056965,8150000,7301076.535416571,7301076.535416571,.,762.0490341718386,4189789,3753370.571318584,3753370.571318584
Cincinnati,59.70134,70.44758,59701.340000000004,1.2714840664035174,46.95406067405112,46.95406067405112,6926.218472867347,885.1262145409509,1739.864863,1540000,6130577.53797268,1540000,.,537.3710452361724,934953,3721949.2602988128,934953
Cleveland,62.77554,69.05309,62775.54,1.1653581060286888,53.86802535224704,53.86802535224704,9116.160952898786,1065.2097286959158,1675.72634,1785000,9710623.335385619,1785000,.,643.1097812784873,1077676,5862692.276518225,1077676
Columbus,60.79675,71.13219,60796.75,1.1898957814338935,51.094180640540124,51.094180640540124,8201.489833152049,1106.7339674828359,1030.05784,1140000,9076867.382314509,1140000,.,750.9364716839591,773508,6158797.8378590625,773508
Dallas-Fort Worth,56.96404,70.06577,56964.03999999999,1.2309440205397102,46.2767104348287,46.2767104348287,6727.827257719767,1122.3258612680775,3644.217906,4090000,7550814.521483185,4090000,.,713.7561658202335,2601083,4802028.187770916,2601083
Denver,50.87279,67.15208,50872.79,1.3276568365990167,38.31772533203531,38.31772533203531,4612.637364877636,1567.4515055293143,1291.905997,2025000,7230085.38203822,2025000,.,836.3681277965303,1080509,3857862.8770670295,1080509
Detroit,50.51411,65.16321,50514.11,1.2042531320189953,41.94642194146539,41.94642194146539,5527.6395426673,1233.4944074099687,3267.140877,4030000,6818312.462058311,4030000,.,597.8523955763907,1953268,3304712.54246643,1953268
Grand Rapids,56.83914564234036,63.091451662997805,56839.145642340365,1.239950479766127,45.8398513245957,45.8398513245957,6601.403414306025,832.6530183104809,666.544152,555000,5496678.478007026,555000,.,796.5938916526567,530965,5258637.636171171,530965
Hampton Roads,54.51603,64.32891,54516.03,1.3027672864567084,41.846330167127356,41.846330167127356,5501.291114298432,1114.0347356616915,1364.40988,1520000,6128629.392315466,1520000,.,420.4264483924728,573634,2312888.284757559,573634
Hartford,68.56857,75.42543,68568.56999999999,1.2235905996964451,56.03881724574449,56.03881724574449,9865.697468437178,715.700947685785,1215.591516,870000,7060889.027741738,870000,.,467.1972389777686,567921,4609226.617843811,567921
Honolulu,58.40320294694695,68.9157794773974,58403.20294694695,1.4504032271365455,40.26687327650898,40.26687327650898,5093.84456419375,1753.595502073632,399.179856,700000,8932542.91603238,700000,.,802.7985259857402,320461,4089330.9077352174,320461
Houston,53.7673,68.82214,53767.299999999996,1.2697550623600664,42.34462345837305,42.34462345837305,5633.08654132121,1082.0570893248787,3354.721332,3630000,6095321.226817176,3630000,.,557.6558571810459,1870780,3141323.7037754925,1870780
Indianapolis,53.33619,65.07016,53336.19,1.209091348599081,44.112622310794144,44.112622310794144,6113.2988059667305,719.244812499162,1432.0576,1030000,4396958.453448892,1030000,.,568.0393023297387,813465,3472593.988674566,813465
Inland Empire2,57.81975,71.69648,57819.75,1.3357289838271622,43.2870370412518,43.2870370412518,5886.614450701668,1434.3253447427585,1136.422783,1630000,8443320.301370373,1630000,.,772.155410052176,877495,4545381.195000611,877495
Jacksonville,54.3979,63.64554,54397.9,1.3149776646779339,41.36792697032098,41.36792697032098,5376.2244155800745,837.0706791340551,1063.231603,890000,4500279.822726701,890000,.,467.6516373262844,497222,2514200.1505795685,497222
Kansas City,63.34106,69.04175,63341.06,1.2505370553354251,50.651086051192905,50.651086051192905,8059.858111613981,941.4472355544217,1513.627048,1425000,7587931.138139864,1425000,.,588.9244653614303,891412,4746647.629271251,891412
Las Vegas,50.76474,64.47121,50764.740000000005,1.3388863814804914,37.91564445062636,37.91564445062636,4516.341328073776,1755.5750317549087,740.498114,1300000,7928776.070449125,1300000,.,934.3372885349443,691875,4219786.110570761,691875
Los Angeles2,47.96656,70.9905,47966.56,1.2308234563011322,38.971113001168334,38.971113001168334,4771.2864553409245,2881.990935894984,4319.930311,12450000,13750804.316851052,12450000,.,1226.6024260871461,5298837,5852471.541677917,5298837
Louisville,57.96375,68.97688,57963.75,1.296112586143717,44.721230716891434,44.721230716891434,6283.149106084156,848.5822084326122,1013.455139,860000,5331768.5443522865,860000,.,509.17497987051996,516026,3199222.319613876,516026
Memphis,57.32139,64.77317,57321.39,1.2742871207174382,44.983103939501014,44.983103939501014,6356.9487718128985,946.3821075160068,1035.522536,980000,6016102.5760395825,980000,.,519.0287814267327,537466,3299439.374626214,537466
Milwaukee,57.25628,65.84471,57256.28,1.1797064153855987,48.53434655713491,48.53434655713491,7400.281605981822,1109.84168212254,1261.441179,1400000,8213140.985763358,1400000,.,619.6594918675951,781664,4585654.739639807,781664
Minneapolis-St.Paul,55.30265,69.68134,55302.65,1.2276081587009786,45.0491059447827,45.0491059447827,6375.617077920342,1049.2157487922923,2316.01556,2430000,6689397.846423118,2430000,.,709.1480853436063,1642398,4521256.643691209,1642398
Nashville,60.80458,70.53332,60804.58,1.325266197217636,45.88103139403822,45.88103139403822,6613.269436957617,761.8615008051859,1115.688349,850000,5038395.378469597,850000,.,568.9509983401288,634772,3762626.248449297,634772
New Orleans,56.71207,65.21888,56712.07,1.300670721534314,43.602173141177936,43.602173141177936,5972.637310848534,2137.0329710580395,512.392656,1095000,12763722.857454741,1095000,.,1056.4398097071867,541312,6309731.8241228685,541312
New York,51.8687,66.91063,51868.7,1.2267129939635493,42.282669422462504,42.282669422462504,5616.6151636803515,1980.8358108488483,8683.203275,17200000,11125592.451974705,11125592.451974705,.,908.0231972342027,7884550,5100016.858559137,5100016.858559137
Oklahoma City,59.51772,65.46949,59517.719999999994,1.2533188324747175,47.488091982532794,47.488091982532794,7084.664906824163,970.1899612180936,834.888045,810000,6873470.771194924,810000,.,528.7128048407975,441416,3745753.0542441704,441416
Orlando,45.74069,60.83512,45740.69,1.2777769397089942,35.79708521771974,35.79708521771974,4025.7351898420034,1047.9139885488814,1173.760455,1230000,4218624.219628922,1230000,.,697.0127478012538,818126,2805988.746591977,818126
Philadelphia,52.86588,66.61101,52865.88,1.1821917542948417,44.71853217377044,44.71853217377044,6282.390860527333,1099.6163268490113,4660.716538,5125000,6908219.561882865,5125000,.,547.2707853403464,2550674,3438168.980055808,2550674
Phoenix,52.44265,67.12659,52442.65,1.3048098988433554,40.191793491517515,40.191793491517515,5074.866770339883,1401.3597327768193,2069.418674,2900000,7111713.941161459,2900000,.,677.8860254935537,1402830,3440181.2648550104,1402830
Pittsburgh,58.55113,64.40624,58551.13,1.2524970796019175,46.74751818072851,46.74751818072851,6865.4181064164095,799.4758065881405,2207.696575,1765000,5488735.678192083,1765000,.,470.4636550881092,1038641,3229929.696052749,1038641
Portland,53.08795,67.95258,53087.95,1.422577837242274,37.31813375000498,37.31813375000498,4375.11735271444,1295.3047985550368,1227.510314,1590000,5667110.501212424,1590000,.,714.7467438713512,877359,3127100.881907692,877359
Providence,62.4824,71.22993,62482.4,1.2268427061874936,50.92943022351152,50.92943022351152,8148.684585290814,927.6286640084529,1304.401262,1210000,7558953.395279592,1210000,.,482.44740198664414,629305,3931311.707782168,629305
Raleigh,61.62895,70.25701,61628.950000000004,1.2062063895874686,51.09320472185324,51.09320472185324,8201.176532864287,954.3449701689278,827.79291,790000,7826751.573606479,790000,.,742.4501860012307,614595,6088965.042254018,614595
Rochester,62.089397559255026,65.81476141281033,62089.39755925503,1.192447509904477,52.06887267031889,52.06887267031889,8517.383904288998,869.9136924744846,764.443652,665000,7409388.882402784,665000,.,595.4448033012118,455184,5071631.983530269,455184
Sacramento,53.29741,67.68771,53297.409999999996,1.4590868581547622,36.5279213517163,36.5279213517163,4191.792640416953,1538.0035288978304,955.784543,1470000,6446991.873369228,1470000,.,612.258279636146,585187,2566459.7506131413,585187
Salt Lake City,52.23418,63.7257,52234.18,1.4326770952358594,36.45914363655041,36.45914363655041,4176.02221108238,1539.5789483851775,597.565978,920000,6429315.884171354,920000,.,1022.958171156123,611285,4271896.04375618,611285
San Antonio,59.60624,71.52749,59606.24,1.2985411671488387,45.90246463335108,45.90246463335108,6619.44963342877,1193.6639046698626,1055.573512,1260000,7901398.096204076,1260000,.,601.997864455697,635453,3984894.543196166,635453
San Diego,53.16983,70.71587,53169.829999999994,1.3877001661275203,38.31507071759913,38.31507071759913,4611.998269029507,1372.086028348845,2026.112024,2780000,6328058.387704445,2780000,.,533.9102612225552,1081762,2462393.2005755166,1081762
San Francisco1,53.32521,72.52228,53325.21,1.364607779064338,39.077316440745456,39.077316440745456,4797.327153478516,3692.1786197984,1107.747057,4090000,17712588.748251695,4090000,.,1849.2479732221034,2048499,8871447.515453508,2048499
San Jose1,50.66389,67.88962,50663.89,1.4170743509548436,35.75245714232425,35.75245714232425,4015.7037126257637,2486.329968574823,673.683711,1675000,9984364.485618616,1675000,.,1548.2013042170763,1042998,6217117.725236563,1042998
Seattle,58.18665,73.89704,58186.65,1.3860933513733014,41.978882549541375,41.978882549541375,5536.198078028553,1109.3651265048711,2469.881137,2740000,6141665.08118817,2740000,.,599.9134848245129,1481715,3321239.88166888,1481715
South Florida,59.82909,81.36757,59829.090000000004,1.230661832206752,48.61537786762909,48.61537786762909,7425.012755801472,1717.595801458869,2890.668454,4965000,12753170.735143155,4965000,.,514.0451157391708,1485934,3816791.541420787,1485934
St. Louis,56.50248,66.67293,56502.479999999996,1.3131610835082415,43.02783619588235,43.02783619588235,5816.327949772494,957.1610570629796,2146.974101,2055000,5567162.608629193,2055000,.,568.5308450770176,1220621,3306761.8445292334,1220621
Tampa Bay,47.58084,59.95186,47580.840000000004,1.2530147875169688,37.973087368177325,37.973087368177325,4530.036379198885,962.522066540267,2077.87444,2000000,4360259.9772091,2000000,.,501.91290672982143,1042912,2273683.7266755477,1042912
Washington2,49.55658,67.39695,49556.579999999994,1.271343586465266,38.97969087788678,38.97969087788678,4773.3870887638905,1345.122642374673,2996.00934,4030000,6420791.053915232,4030000,.,760.5570415211055,2278636,3630433.162265307,2278636
,,,,,,,,,,,,,,,,,
