0.16666666666666666,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],10 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,
Atlanta,57.43675000000001,68.14325000000001,11357.208333333334,1.3810679080102386,41.58865010682313,6.931441684470522,150.93745406787224,659.0477708935927,6851.428985,4515419,99474.99264778523,99474.99264778523,.,323.7412231603244,2218090,48864.67600063824,48864.67600063824,,
Austin,62.91075,76.75675000000001,12792.791666666668,1.4404458654112589,43.67449795278386,7.279082992130643,166.4574413366862,1005.7320851324054,1354.651025,1362416,167411.58956135047,167411.58956135047,.,484.2996372442121,656057,80615.27845595684,80615.27845595684,,
Baltimore2,59.8115,68.62625,11437.708333333334,1.3822949804670155,43.26970787363518,7.211617978939196,163.38617219111504,1186.6066340855928,1857.113332,2203663,193875.1158398281,193875.1158398281,.,604.1203736294108,1121920,98704.91538997566,98704.91538997566,,
Boston,53.613,62.8705,10478.416666666666,1.3221707933341669,40.54922425324653,6.758204042207755,143.48697247103934,861.6700182833223,4852.227548,4181019,123638.42219253903,123638.42219253903,.,598.2297761770178,2902747,85838.17942566778,85838.17942566778,,
Buffalo,63.43400000000001,70.23625,11706.041666666666,1.2726128167623416,49.84548258863419,8.307580431439032,216.8198212511039,951.109255078426,984.015238,935906,206219.3386763749,206219.3386763749,.,476.9570448460881,469333,103413.74120798356,103413.74120798356,,
Charlotte,61.2605,70.79974999999999,11799.95833333333,1.3548292070349812,45.216400474615895,7.536066745769316,178.41827873325462,650.5968834128471,1920.454942,1249442,116078.37608774011,116078.37608774011,.,424.5301371928777,815291,75743.93634834568,75743.93634834568,,
Chicago,49.266,60.49575000000001,10082.625,1.3236002256090809,37.22120852414427,6.203534754024044,120.90055984677701,1360.6187423043561,6326.686332,8608208,164499.5676826143,164499.5676826143,.,661.506795244737,4185146,79976.54188753599,79976.54188753599,,
Cincinnati,66.8955,72.53050000000002,12088.41666666667,1.4101242469920043,47.43943673239973,7.906572788733287,196.39318782402643,796.3910638802463,2040.237609,1624827,156405.77979000943,156405.77979000943,.,464.30964502429185,947302,91187.25132376279,91187.25132376279,,
Cleveland,66.33200000000001,73.01350000000001,12168.916666666668,1.2785144324718047,51.88208933375716,8.647014888959525,234.89960486717447,890.6045978114746,1999.397942,1780673,209202.66811880423,209202.66811880423,.,475.2125527595446,950139,111627.24087113833,111627.24087113833,,
