1,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],60 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,57.43675000000001,68.14325000000001,68143.25000000001,1.2084405776911233,47.529643625291115,47.529643625291115,7097.068363886132,873.4897783967428,5083.058909,4440000,6199216.672437431,4440000,.,436.3691312081152,2218090,3096941.556073591,2218090
Austin,62.91075,76.75675000000001,76756.75000000001,1.2747371883868555,49.351937460624185,49.351937460624185,7651.706204660726,1256.15259139698,823.944485,1035000,9611710.57759292,1035000,.,796.2393243035058,656057,6092589.378167999,656057
Baltimore2,59.8115,68.62625,68626.25,1.2261163596071283,48.78125924293578,48.78125924293578,7475.769231850157,1312.0237170817477,1768.260718,2320000,9808386.535617404,2320000,.,634.4765727018769,1121920,4743200.440534431,1121920
Boston,53.613,62.8705,62870.5,1.1905717622441363,45.03130487400744,45.03130487400744,6370.579446863152,934.0236619194253,4496.67409,4200000,5950271.943507749,4200000,.,645.5319958489586,2902747,4112412.865047925,2902747
Buffalo,63.43400000000001,70.23625,70236.25,1.1734589731007847,54.05727976358647,54.05727976358647,9180.329051267343,1184.5434204235628,949.73302,1125000,10874498.37500202,1125000,.,494.17361523346847,469333,4536676.396297621,469333
Charlotte,61.2605,70.79974999999999,70799.74999999999,1.2204535484710273,50.19486409519361,50.19486409519361,7915.319287570585,949.9153795848895,1126.416124,1070000,7518883.52558821,1070000,.,723.7920184459291,815291,5729044.923794707,815291
Chicago,49.266,60.49575000000001,60495.75000000001,1.1904326141515926,41.3849548595502,41.3849548595502,5380.651255481565,1535.0877689569375,5498.056965,8440000,8259771.931312541,8259771.931312541,.,761.2045540164752,4185146,4095776.2392470324,4095776.2392470324
Cincinnati,66.8955,72.53050000000002,72530.50000000001,1.266293479915514,52.827801027975916,52.827801027975916,8767.483143266343,959.8446612229791,1739.864863,1670000,8415421.887426663,1670000,.,544.468722913683,947302,4773620.350181469,947302
Cleveland,66.33200000000001,73.01350000000001,73013.50000000001,1.1590296676460083,57.23063166684977,57.23063166684977,10289.800421390173,1068.1935094485655,1675.72634,1790000,10991498.023650097,1790000,.,567.0012921083522,950139,5834330.134465296,950139
Columbus,73.17450000000001,79.77550000000001,79775.50000000001,1.1775894338342325,62.13922942713893,62.13922942713893,12130.58092568674,1189.2536054091877,1030.05784,1225000,14426337.101580877,1225000,.,769.8305563112845,792970,9338491.86240048,792970
