1.1666666666666667,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],70 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E
Atlanta,57.43675000000001,68.14325000000001,79500.45833333336,1.1994894097934046,47.8843327261161,55.865054847135454,9804.610188171964,873.4897783967428,5083.058909,4440000,8564226.780532775,4440000,.,436.3691312081152,2218090,4278429.2296468355,2218090
Austin,62.91075,76.75675000000001,89549.54166666669,1.2686558801685661,49.588506216233405,57.85325725227231,10514.908647119606,1256.15259139698,823.944485,1035000,13208329.745381806,1035000,.,796.2393243035058,656057,8372383.756295606,656057
Baltimore2,59.8115,68.62625,80063.95833333333,1.2246097283275779,48.841274584420646,56.98148701515743,10200.405338914969,1312.0237170817477,1768.260718,2320000,13383173.72850372,2320000,.,634.4765727018769,1121920,6471918.219604696,1121920
Boston,53.613,62.8705,73348.91666666667,1.1860014644783186,45.20483456871828,52.738973663504666,8738.023742919098,934.0236619194253,4496.67409,4200000,8161520.93430018,4200000,.,645.5319958489586,2902747,5640673.906542153,2902747
Buffalo,63.43400000000001,70.23625,81942.29166666667,1.1689289949876671,54.26676921524158,63.31123075111518,12592.483341552803,1184.5434204235628,949.73302,1125000,14916343.289029693,1125000,.,494.17361523346847,469333,6222873.017662376,469333
Charlotte,61.2605,70.79974999999999,82599.70833333333,1.2189910044278438,50.25508783697199,58.630935809800654,10799.496915242267,949.9153795848895,1126.416124,1070000,10258608.211568201,1070000,.,723.7920184459291,815291,7816589.670483786,815291
Chicago,49.266,60.49575000000001,70578.37500000001,1.182395855959736,41.666248872304614,48.61062368435539,7423.560616705546,1535.0877689569375,5498.056965,8440000,11395817.104815103,8440000,.,761.2045540164752,4185146,5650848.148453615,4185146
Cincinnati,66.8955,72.53050000000002,84618.91666666669,1.2682519023005123,52.746224845913225,61.5372623202321,11896.691928954278,959.8446612229791,1739.864863,1670000,11418976.234221268,1670000,.,544.468722913683,947302,6477376.661455256,947302
Cleveland,66.33200000000001,73.01350000000001,85182.41666666669,1.1538473690936333,57.48767278648381,67.06895158423112,14131.651142027904,1068.1935094485655,1675.72634,1790000,15095338.027705615,1790000,.,567.0012921083522,950139,8012664.457154293,950139
Columbus,73.17450000000001,79.77550000000001,93071.41666666667,1.172494087107976,62.40926995247295,72.81081494455178,16654.88570414289,1189.2536054091877,1030.05784,1225000,19806882.87132987,1225000,.,769.8305563112845,792970,12821439.92692118,792970
Dallas-Fort Worth,53.894749999999995,63.393750000000004,73959.37500000001,1.2194440762579295,44.1961636858208,51.562190966790936,8352.425270764976,1219.7404531385341,3644.217906,4445000,10187790.984568615,4445000,.,729.7741432040481,2659456,6095383.99564835,2659456
Denver,54.78025,64.11825,74804.62500000001,1.332588071446608,41.10816476132238,47.95952555487611,7226.027815299265,1687.4292750883483,1291.905997,2180000,12193410.87813868,2180000,.,885.413491892011,1143871,6398022.520452922,1143871
Detroit,57.557500000000005,65.1245,75978.58333333333,1.184359051274878,48.598015895638625,56.6976852115784,10099.050164263906,1239.6159677445094,3267.140877,4050000,12518943.842674349,4050000,.,521.8829135906893,1705065,5270521.724224577,1705065
Grand Rapids,72.65,79.78,93076.66666666667,1.2332093689133028,58.911326682523324,68.72988112961055,14840.244570232724,900.1654252005198,666.544152,600000,13358675.063643247,600000,.,799.6064452756611,532973,11866355.20782522,532973
Hampton Roads,63.393750000000004,72.08775000000001,84102.37500000003,1.3238381040403082,47.886331271568984,55.86738648349715,9805.428634077338,1132.3576753929692,1364.40988,1545000,11103252.374315472,1545000,.,466.71825624716234,636795,4576372.55385257,636795
Hartford,65.96974999999999,73.8185,86121.58333333333,1.2212395547829722,54.018681053713124,63.02179456266531,12477.609908746355,736.2670668721581,1215.591516,895000,9186853.249087656,895000,.,466.09078176554175,566576,5815698.956933059,566576
Honolulu,61.743500000000004,74.74425,87201.625,1.4457945737747382,42.70558288152763,49.82318002844891,7798.530224455339,1766.1211842313005,399.179856,705000,13773149.435278652,705000,.,894.7946511609545,357184,6978083.131759674,357184
Houston,58.40275000000001,69.59225,81190.95833333334,1.244523848534959,46.92778693534169,54.74908475789864,9416.80548400199,1137.2032495246315,3354.721332,3815000,10708821.796548434,3815000,.,675.4802488017804,2266048,6360866.111251635,2266048
Indianapolis,54.53875,64.44025,75180.29166666667,1.1881337656936146,45.90287017738369,53.55334854028097,9009.96564781801,747.1766498777703,1432.0576,1070000,6732035.948250455,1070000,.,555.537710215008,795562,5005375.685104698,795562
Inland Empire2,60.173750000000005,67.82125,79124.79166666669,1.340855665082751,44.87712702193519,52.35664819225772,8611.792246832938,1786.307024434233,1136.422783,2030000,15383304.983485943,2030000,.,966.10699505837,1097906,8319912.729654738,1097906
Jacksonville,66.33200000000001,74.18075,86544.20833333334,1.2868751983865299,51.54501390901491,60.1358495605174,11361.005609097336,978.150007077997,1063.231603,1040000,11112767.716951722,1040000,.,508.1602150232549,540292,5773211.053199307,540292
Kansas City,63.43400000000001,69.552,81144.00000000001,1.2339380343866972,51.40776783943493,59.975729146007424,11300.585507162985,1007.5137082249074,1513.627048,1525000,11385494.809434425,1525000,.,613.5044965184845,928617,6932960.02193611,928617
Las Vegas,59.52975000000001,69.83375000000001,81472.70833333334,1.3118575590900703,45.37821167207436,52.94124695075342,8805.1793247865,1897.3714766274206,740.498114,1405000,16706696.097439397,1405000,.,1137.2034365505488,842097,10013280.18759105,842097
Los Angeles2,52.92875,66.0905,77105.58333333334,1.2372388226799365,42.779735835764534,49.90969180839196,7825.636100320141,2963.010761402072,4319.930311,12800000,23187443.980065122,12800000,.,1240.2952395682755,5357989,9706099.201820714,5357989
Louisville,63.47425000000001,71.28275000000001,83163.20833333334,1.3035823978090557,48.69216560969359,56.80752654464253,10138.21817100885,902.8520008323723,1013.455139,915000,9153310.560570454,915000,.,548.676481673058,556059,5562601.876503001,556059
Memphis,67.41875,75.14675000000001,87671.20833333336,1.2390192666572288,54.41299567672599,63.48182828951366,12660.437824580873,999.4953890602725,1035.522536,1035000,12654049.229152849,1035000,.,536.1216011237055,555166,6787534.197441421,555166
