,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in 30 mins [km2],Urbanized area density [people/km2],Urbanized Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,,C1,S_a,R_a,A_30,D_UA,,,,0,.,,,,
Atlanta,60.37546801014345,63.99799609075206,1.2804195867064025,47.15287756995818,23.57643878497909,1746.2494566094686,964.6739130434783,2944,2840000,1684561.2964575037,1684561.2964575037,.,503.32235054347825,1481781,878926.3811359494,878926.3811359494
Austin*,63.478689145973746,67.92219738619193,1.3588386571923918,46.715398336644526,23.357699168322263,1713.9967500815412,932.8621908127209,707.5,660000,1598922.7633269501,660000,.,571.0473498233216,404016,978773.3017398502,404016
Baltimore,60.37745029626894,64.60387181700777,1.2525850225273614,48.202277059360306,24.101138529680153,1824.8408347940676,1296.8393613554904,1534.5,1990000,2366525.4227697584,1990000,.,776.6783968719452,1191813,1417314.4541143186,1191813
Boston,61.541690600746875,67.69585966082157,1.2423920941272546,49.534837586018426,24.767418793009213,1927.1315793004212,1563.9892556970801,2308.2,3610000,3014013.0843404043,3014013.0843404043,.,927.8732345550646,2141717,1788133.8118986918,1788133.8118986918
Buffalo,73.27659816495958,76.20766209155798,1.219772096591283,60.07400757054114,30.03700378527057,2834.4127391488555,1440.1622718052738,739.5,1065000,4082014.289646425,1065000,.,718.2177146720758,531122,2035725.4399489095,531122
Charlotte,66.90817657705539,71.59174893744927,1.2963499404090038,51.61274320415796,25.80637160207898,2092.202737555129,862.4820316243412,626.1,540000,1804487.2676565559,540000,.,966.0693180003194,604856,2021212.8717882845,604856
Chicago,59.830534500000006,64.61697726000001,1.230649613698569,48.617034315873674,24.308517157936837,1856.3796855386527,1830.0112091232515,4103.8,7510000,3397195.6329244315,3397195.6329244315,.,936.0439105219552,3841337,1737652.900265118,1737652.900265118
Cincinnati,67.51882116890982,74.2707032858008,1.32925920589698,50.794322784733566,25.397161392366783,2026.3769200605248,860.24750980984,1325.2,1140000,1743185.6994181997,1140000,.,613.3157259281618,812766,1242808.8317309935,812766
Cleveland,70.27014784368207,77.29716262805029,1.2049847148423478,58.31621511719818,29.15810755859909,2670.9671087876127,1068.6095931997572,1647,1760000,2854221.0755714625,1760000,.,754.1584699453551,1242099,2014332.4680376349,1242099
Columbus,67.72593293272408,77.20756354330544,1.2627799319268018,53.63241149183061,26.816205745915305,2259.1472078628776,973.9169371991493,893.3,870000,2200221.729363824,870000,.,758.8257024515841,677859,1714298.966948083,677859
Dallas-Fort Worth,66.03146949483623,76.59650461401002,1.3065070711215105,50.540460862683716,25.270230431341858,2006.1725185764426,869.5652173913044,3737.5,3250000,1744497.842240385,1744497.842240385,.,528.8577926421405,1976606,1060979.9698336609,1060979.9698336609
Denver,65.00214079321759,76.05250472806458,1.3654162762477409,47.60609780619286,23.80304890309643,1779.979704293747,1329.5186805789297,1188.4,1580000,2366516.267909896,1580000,.,811.9421070346684,964912,1445240.471583211,964912
Detroit,59.74012668400049,69.89594822028057,1.2288145856552757,48.61606248931653,24.308031244658267,1856.3054703557366,1369.2488100986411,2899.4,3970000,2541744.0564641906,2541744.0564641906,.,717.3484169138442,2079880,1331617.7904681966,1331617.7904681966
Grand Rapids*2,70.9393812037455,83.70846982041968,1.2825248470877721,55.31228604640875,27.656143023204375,2402.8856159318534,1190.58976132826,578.2,688399,2860851.0119714146,688399,.,693.8602559667935,401190,1667266.8285294021,401190
Virginia Beach,64.89864925681238,85.66621701899234,1.357140079853055,47.8201552074413,23.91007760372065,1796.0227936051338,770.8418174413869,1718.9,1325000,1384449.4743887382,1325000,.,406.65483739600904,698999,730361.3570930216,698999
Hartford,70.55011752171079,84.66014102605294,1.3223701939914507,53.35126112360553,26.675630561802766,2235.523610029873,1320.2112337974077,624.9,825000,2951363.3833807735,825000,.,899.2942870859338,561969,2010393.6111455876,561969
Honolulu*2,61.85177096411715,73.60360744729941,1.3847021462356206,44.667924529664496,22.333962264832248,1567.0448581636026,2328.0373051224947,359.2,836231,3648138.888605255,836231,.,1218.034521158129,437518,1908714.733446612,437518
Houston,61.86592987183512,73.62045654748378,1.3197846089200058,46.875777648642746,23.437888824321373,1725.7856459540355,951.0379431344899,3049.3,2900000,1641287.631019153,1641287.631019153,.,577.114747647001,1759796,995976.3475575797,995976.3475575797
Indianapolis,66.18181659192213,78.0945435784681,1.2722485093794627,52.019567013839314,26.009783506919657,2125.3151957907353,778.1620553359684,1214.4,945000,1653839.6409932845,945000,.,514.6335638998682,624971,1093758.5336203324,624971
Inland Empire**,65.10221093956217,72.91447625230963,1.3359338217910093,48.73161370544792,24.36580685272396,1865.1401334153175,1078.3820073850286,1191.6,1285000,2011333.56112679,1285000,.,643.6329305135952,766953,1200465.6098886186,766953
Jacksonville*,55.540281389808555,57.20648983150281,1.367147891752108,40.6249256023277,20.31246280116385,1296.2090181843553,547.5701574264202,1314.9,720000,709765.376144753,709765.376144753,.,337.5785230816031,443882,437572.3259637295,437572.3259637295
Kansas City,63.2199184408059,65.11651599403008,1.288118949229026,49.07925504755965,24.539627523779824,1891.8461070296405,587.9073539100907,1973.1,1160000,1112230.2387889023,1112230.2387889023,.,390.9122700319295,771309,739545.8562500254,739545.8562500254
Las Vegas*,58.291697709553844,60.04044864084045,1.3334070755044698,43.71635547794005,21.858177738970024,1500.989930901916,1175.4827875734677,595.5,700000,1764387.828096291,700000,.,623.2208228379513,371128,935448.1798081718,371128
Los Angeles,48.11622779676405,49.559714630666974,1.2467601620257738,38.593010317704845,19.296505158852423,1169.7880823300036,2243.04205212814,5091.3,11420000,2623883.8607445327,2623883.8607445327,.,1337.3878970007659,6809043,1564460.4233638823,1564460.4233638823
Louisville*,62.48721285155351,64.98670136561566,1.3589321966589822,45.982583240857885,22.991291620428942,1660.6442756553129,1106.8597977589507,731.8,810000,1838100.3871013988,810000,.,610.6531839300355,446876,1014077.7143041044,446876
Memphis*,65.30803220505597,67.9203534932582,1.3312259917708142,49.05856151304736,24.52928075652368,1890.2511060713719,973.6216460998529,883.3,860000,1840389.3934352768,860000,.,507.457262538209,448237,959221.6517968001,448237
Milwaukee,64.48552107198695,67.06494191486644,1.2176020802066099,52.961079912942225,26.480539956471112,2202.944447604692,927.6018099547512,1326,1230000,2043455.2568278818,1230000,.,582.7692307692307,772752,1283808.2411579343,772752
Minneapolis-St.Paul,63.564185114523426,66.10675251910436,1.2446763567855696,51.06884594376057,25.534422971880286,2048.3396363329475,730.0860847771603,2753.1,2010000,1495464.265384194,1495464.265384194,.,474.96422214957687,1307624,972888.0420690256,972888.0420690256
