1,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],60 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,,,,R=A_E/A_P
Atlanta,66.68239716375706,79.77374908056166,79773.74908056165,1.2084405776911233,55.1805346450399,55.1805346450399,9565.808464881742,659.0477708935927,6851.428985,4515419,6304324.745575371,4515419,.,292.35463206074525,2003047,2796608.414114064,2003047,,,,,0.4436015793883138
Austin,67.1321892285672,79.51902759368085,79519.02759368085,1.2747371883868555,52.66355280143755,52.66355280143755,8713.049496893173,1005.7320851324054,1354.651025,1362416,8762993.438372226,1362416,.,472.8620051795259,640563,4120070.056329365,640563,,,,,0.4701669680919777
Baltimore2,64.33133072826236,77.15231995448468,77152.31995448469,1.2261163596071283,52.46755760511619,52.46755760511619,8648.316375121021,1186.6066340855928,1857.113332,2203663,10262149.58438967,2203663,.,570.5683017518718,1059610,4934455.187165705,1059610,,,,,0.48084030997480104
Boston,59.08384417630565,71.20194964854586,71201.94964854587,1.1905717622441363,49.626445082938254,49.626445082938254,7737.064283790061,861.6700182833223,4852.227548,4181019,6666796.322872622,4181019,.,598.2297761770178,2902747,4628542.2347589275,2902747,,,,,0.6942678327938716
Buffalo,61.52546201403905,70.65055677780813,70650.55677780813,1.1734589731007847,52.43085904525681,52.43085904525681,8636.222434625643,951.109255078426,984.015238,935906,8213991.086488386,935906,.,463.10664957405874,455704,3999492.036675802,455704,,,,,0.486912147160078
Charlotte,64.0526815140792,75.74245959811465,75742.45959811466,1.2204535484710273,52.48268694398389,52.48268694398389,8653.30468331675,650.5968834128471,1920.454942,1249442,5629813.058187671,1249442,.,378.7560874729442,727384,3277491.825564357,727384,,,,,0.5821670793842372
Chicago,62.25587188398059,73.23267635618011,73232.6763561801,1.1904326141515926,52.2968466622108,52.2968466622108,8592.130780479858,1360.6187423043561,6326.686332,8608208,11690614.17625105,8608208,.,600.2782184397379,3797772,5157668.957507684,3797772,,,,,0.4411803246389957
Cincinnati,63.81626979604995,74.14207195492925,74142.07195492926,1.266293479915514,50.39611338779673,50.39611338779673,7978.917259042385,796.3910638802463,2040.237609,1624827,6354338.404541223,1624827,.,428.64958284375984,874547,3420159.554633394,874547,,,,,0.5382400710967998
Cleveland,60.599390167439914,69.65395403984837,69653.95403984837,1.1590296676460083,52.28458930694794,52.28458930694794,8588.1035985725,890.6045978114746,1999.397942,1780673,7648604.551369938,1780673,.,435.21001083435146,870158,3737628.6601812704,870158,,,,,0.48866804854119766
Columbus,64.04641174171243,74.901794999095,74901.794999095,1.1775894338342325,54.38772623254375,54.38772623254375,9292.90887006311,1034.7499169004755,1322.092399,1368035,9615836.681061493,1368035,.,567.5314377176145,750329,5274017.931605688,750329,,,,,0.5484720785652413
Dallas-Fort Worth,65.99143770414402,78.09733145840165,78097.33145840165,1.2313593343456124,53.592347792786406,53.592347792786406,9023.093113371344,1111.5370303722236,4607.936452,5121892,10029502.124008846,5121892,.,544.773137856633,2510280,4915538.748543883,2510280,,,,,0.4901079522957532
Denver,60.70561775485221,72.57646725599626,72576.46725599626,1.338527756308961,45.35252815544906,45.35252815544906,6461.790536104124,1372.380626126141,1729.988718,2374203,8868036.14183455,2374203,.,600.0883064718345,1038146,3877644.9395864513,1038146,,,,,0.43726084079583766
Detroit,62.14790113348605,71.57962292036937,71579.62292036938,1.1893966318471174,52.25162024964807,52.25162024964807,8577.27622426722,1078.2087468947925,3463.23475,3734090,9248094.249537656,3734090,.,433.40348210585495,1500978,3717421.382581173,1500978,,,,,0.4019662086345
