1.5,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],90 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Area,S_n,S_f,,C3,S_a,R_a,A_X,D_UA,Area,Pop,A_P,MinA_P,.,D_Emp,Emp,A_E,MinA_E,,,,,R=A_E/A_P
Atlanta,66.68239716375706,79.77374908056166,119660.62362084248,1.1877771935320718,56.14049295345098,84.21073943017647,22278.442936209995,659.0477708935927,6851.428985,4515419,14682558.156089302,4515419,.,292.35463206074525,2003047,6513205.987501982,2003047,,,,,0.44360157938831374
Austin,67.1321892285672,79.51902759368085,119278.54139052126,1.2582890434326388,53.35196199867495,80.02794299801243,20120.24111872923,1005.7320851324054,1354.651025,1362416,20235572.05370631,1362416,.,472.8620051795259,640563,9514097.56009785,640563,,,,,0.4701669680919777
Baltimore2,64.33133072826236,77.15231995448468,115728.47993172702,1.233741596511127,52.14327774161432,78.21491661242148,19218.922962247507,1186.6066340855928,1857.113332,2203663,22805301.486982822,2203663,.,570.5683017518718,1059610,10965708.236069612,1059610,,,,,0.4808403099748011
Boston,59.08384417630565,71.20194964854586,106802.9244728188,1.1792959449191527,50.100947460101864,75.1514211901528,17742.88626285007,861.6700182833223,4852.227548,4181019,15288513.130508926,4181019,.,598.2297761770178,2902747,10614322.87775908,2902747,,,,,0.6942678327938715
Buffalo,61.52546201403905,70.65055677780813,105975.8351667122,1.1646573299473928,52.82709380004343,79.24064070006514,19726.308892999034,951.109255078426,984.015238,935906,18761874.95666724,935906,.,463.10664957405874,455704,9135384.819899742,455704,,,,,0.486912147160078
Charlotte,64.0526815140792,75.74245959811465,113613.68939717198,1.2184606076717244,52.56852877375594,78.85279316063392,19533.678528739154,650.5968834128471,1920.454942,1249442,12708550.372386143,1249442,.,378.7560874729442,727384,7398499.653499499,727384,,,,,0.5821670793842371
Chicago,62.25587188398059,73.23267635618011,109849.01453427017,1.1715001469840343,53.14200945194507,79.71301417791761,19962.196919199767,1360.6187423043561,6326.686332,8608208,27160939.26583348,8608208,.,600.2782184397379,3797772,11982872.00280046,3797772,,,,,0.44118032463899576
Cincinnati,63.81626979604995,74.14207195492925,111213.10793239388,1.2779855759070877,49.93504699828438,74.90257049742657,17625.57592660675,796.3910638802463,2040.237609,1624827,14036851.163692407,1624827,.,428.64958284375984,874547,7555195.768321,874547,,,,,0.5382400710967999
Cleveland,60.599390167439914,69.65395403984837,104480.93105977256,1.1498564950576229,52.70169836663234,79.05254754994851,19632.771539268342,890.6045978114746,1999.397942,1780673,17485036.600654647,1780673,.,435.21001083435146,870158,8544378.714313323,870158,,,,,0.48866804854119766
Columbus,64.04641174171243,74.901794999095,112352.69249864251,1.1666680790044779,54.89685789326084,82.34528683989126,21302.342651176084,1034.7499169004755,1322.092399,1368035,22042597.28808991,1368035,.,567.5314377176145,750329,12089749.151575223,750329,,,,,0.5484720785652413
Dallas-Fort Worth,65.99143770414402,78.09733145840165,117145.9971876025,1.2015060407013247,54.923933354196464,82.3859000312947,21323.360720400146,1111.5370303722236,4607.936452,5121892,23701705.052709296,5121892,.,544.773137856633,2510280,11616394.129301261,2510280,,,,,0.4901079522957532
Denver,60.70561775485221,72.57646725599626,108864.7008839944,1.3276510683394664,45.72407555155179,68.5861133273277,14778.224445824902,1372.380626126141,1729.988718,2374203,20281348.91799382,2374203,.,600.0883064718345,1038146,8868239.68035573,1038146,,,,,0.4372608407958376
Detroit,62.14790113348605,71.57962292036937,107369.43438055406,1.1793589097336392,52.69634258117598,79.04451387176397,19628.781399569536,1078.2087468947925,3463.23475,3734090,21163923.795901682,3734090,.,433.40348210585495,1500978,8507182.208068075,1500978,,,,,0.4019662086345
Grand Rapids,67.78467421688788,73.48493042683263,110227.39564024894,1.2368611790095092,54.80378507082786,82.20567760624178,21230.17136451569,784.2973750588556,726.682274,569935,16650767.673239335,569935,.,438.1103150453344,318367,9301157.064974405,318367,,,,,0.5586022967531385
Virginia Beach,64.71536663352344,75.51148714210532,113267.23071315799,1.3441760531206133,48.14500785316142,72.21751177974213,16384.56496021573,1078.4020248075806,1334.999348,1439666,17669148.028687976,1439666,.,444.7919775313628,593797,7287723.049645429,593797,,,,,0.412454694352718
Hartford,63.83101673639741,74.74296813468234,112114.45220202352,1.2211596606105135,52.27081993888118,78.40622990832178,19313.05672638472,691.7059567557736,1337.06959,924859,13358956.380802471,924859,.,395.88290987905873,529323,7645709.09550051,529323,,,,,0.5723283224794266
Honolulu,54.71093280537417,67.86037611584707,101790.5641737706,1.4625638767711695,37.407550996102,56.111326494153005,9891.244656835817,1820.7093992818395,440.739747,802459,18009082.117297247,802459,.,762.2049118252091,335934,7539155.261505115,335934,,,,,0.4186307337820374
Houston,66.693022833823,78.91617432556015,118374.26148834023,1.232150114435076,54.12735189689191,81.19102784533786,20709.325373501742,1149.9995031423985,4299.420988,4944332,23815713.889941268,4944332,.,506.2465401910998,2176567,10484024.320027012,2176567,,,,,0.4402145729696145
Indianapolis,62.662263546111326,72.3337016692045,108500.55250380674,1.1802346118410132,53.09305702225281,79.6395855333792,19925.43700093032,813.7826434009975,1827.862774,1487483,16214974.79353712,1487483,.,406.4413426256472,742919,8098521.367060869,742919,,,,,0.4994470525041294
Inland Empire2,72.10742814017156,84.09990192548348,126149.85288822521,1.330115441516819,54.21140593476809,81.31710890215213,20773.694086229098,1369.2709398652264,1411.456231,1932666,28444815.62592361,1932666,.,678.2541172543097,957326,14089843.54456639,957326,,,,,0.4953395982544319
Jacksonville,69.12706830003765,78.49714718776768,117745.72078165153,1.2812723689433594,53.951891865931216,80.92783779889683,20575.279672661534,775.485851329188,1373.615003,1065219,15955838.273290066,1065219,.,626.5511064747741,860640,12891464.244934011,860640,,,,,0.807946534937886
Kansas City,67.81228876979557,74.59272660637487,111889.0899095623,1.2226839970421781,55.46182736818489,83.19274105227734,21743.06380102533,865.4747964993128,1755.587807,1519417,18818073.718463972,1519417,.,528.9493332645366,928617,11500979.100680629,928617,,,,,0.6111666514195906
Las Vegas,62.45400827588758,72.98090363429576,109471.35545144363,1.3159071047354585,47.460803312892615,71.19120496933893,15922.181135335766,1746.9193703498715,1079.621093,1886011,27814766.64353736,1886011,.,677.9007975532394,731876,10793659.29043126,731876,,,,,0.3880550007396563
Los Angeles2,67.71265423726469,83.33378992309329,125000.68488463994,1.2534168829186265,54.02245267320265,81.03367900980398,20629.13349185926,2702.463769306689,4496.266014,12150996,55749485.85394083,12150996,.,1079.1963787042962,4852354,22262886.160222024,4852354,,,,,0.3993379637356476
Louisville,69.76239089959542,80.63340522748912,120950.1078412337,1.3216362304730513,52.78486567716554,79.1772985157483,19694.784461178187,787.6776339629688,1234.70054,972546,15513141.225791479,972546,.,417.10518730314965,515000,8214796.7615748895,515000,,,,,0.5295379344524579
Memphis,66.0117975254536,76.86486532283301,115297.29798424953,1.2355569211642343,53.426755493589354,80.14013324038403,20176.693324813095,823.0143769923415,1288.022457,1060061,16605708.686486585,1060061,.,395.30832496967867,509166,7976014.841658762,509166,,,,,0.48031764209795474
Milwaukee,66.57502481511119,73.72364096292551,110585.46144438827,1.1642077478462736,57.184832293266965,85.77724843990045,23115.01046396052,974.0478763670035,1413.15025,1376476,22515126.85462181,1376476,.,521.7272544090765,737279,12059730.944999196,737279,,,,,0.5356279368474278
Minneapolis-St.Paul,72.35417413894163,80.92665935101023,121389.98902651534,1.2049005979112202,60.04991139051028,90.07486708576542,25489.25444255168,1001.6752173390063,2646.45661,2650890,25531954.483552184,2650890,.,594.1457698790686,1572381,15144332.704413336,1572381,,,,,0.5931521111777555
Nashville,66.5094342428732,79.19224446351299,118788.36669526949,1.2404771540001511,53.61600899170215,80.42401348755322,20319.890227071166,664.384827305228,1459.375591,969587,13500226.759373866,969587,.,447.40709932841406,652935,9091263.145165699,652935,,,,,0.673415588286559
New Orleans,70.11391631549093,78.21449678598356,117321.74517897534,1.3966039300244457,50.203149803726866,75.3047247055903,17815.34853023838,1381.8089483990395,651.105206,899703,24617408.017931074,899703,.,685.1227664734722,446087,12205700.870726027,446087,,,,,0.49581584144990065
New York,60.63606006157278,75.64626217318956,113469.39325978434,1.2044434075797017,50.34363564114597,75.51545346171896,17915.195094620456,2053.640698283641,8935.98136,18351295,36791373.764004014,18351295,.,813.9335465220801,7273295,14581778.2799994,7273295,,,,,0.3963368797678856
Oklahoma City,62.746727907823015,70.34379555446684,105515.69333170025,1.2192662129771015,51.46269718621444,77.19404577932167,18720.501506319397,810.0396797726283,1063.53432,861505,15164349.045361971,861505,.,425.70699552037024,452754,7969448.450889796,452754,,,,,0.5255384472521923
Orlando,63.67703994300269,76.27854176282709,114417.81264424062,1.287340449469058,49.46402481897094,74.19603722845642,17294.630733611266,975.7775860793671,1548.012602,1510516,16875713.029377233,1510516,.,552.8792200362203,855864,9561841.95081344,855864,,,,,0.5666037301160662
Philadelphia,57.5831982772522,70.0901022214275,105135.15333214124,1.1493697375302219,50.09980374199481,75.14970561299222,17742.076193192963,1060.3784681288619,5131.721516,5441567,18813315.575163502,5441567,.,471.8866743742453,2421591,8372249.331300297,2421591,,,,,0.44501721654810095
Phoenix,65.52311377460158,75.05827255325492,112587.40882988238,1.2523532277965723,52.319994327706496,78.47999149155974,19349.411789739537,1222.0875996258867,2969.60218,3629114,23646676.208295625,3629114,.,489.41201949144585,1453359,9469834.699988019,1453359,,,,,0.4004721262545073
Pittsburgh,59.80744482262588,71.24156349899795,106862.34524849692,1.2344561116309156,48.44841729011378,72.67262593517067,16591.72645760627,739.5753515526226,2344.389921,1733853,12270831.927749107,1733853,.,439.74681462555225,1030938,7296158.858870855,1030938,,,,,0.5945936593240603
Portland,58.33103065050781,69.29589065244727,103943.8359786709,1.4320189723752634,40.733420279869065,61.1001304198036,11728.275178865984,1362.0759506608479,1358.145997,1849898,15974801.563865911,1849898,.,641.1637643695827,870794,7519745.063244056,870794,,,,,0.47072541296871506
Providence,61.333480923569354,68.9471086871926,103420.66303078888,1.2398242295003903,49.46949693690435,74.20424540535652,17298.457494339582,843.6559568888318,1411.660749,1190956,14593946.710087845,1190956,.,418.3023438303448,590501,7235985.31453184,590501,,,,,0.4958210043024259
Raleigh,70.88814311356755,80.32960797886341,120494.41196829511,1.1881349038874762,59.66337903349829,89.49506855024742,25162.1694532884,659.394274407944,1341.975559,884891,16591790.469180835,884891,.,305.9794921346999,410617,7699107.830324444,410617,,,,,0.4640311631602085
Rochester,64.0446957598947,72.19612416499113,108294.1862474867,1.1976784755170091,53.47403085978324,80.21104628967487,20212.416346910162,857.4454035556953,840.370707,720572,17331043.491412118,720572,.,493.93082902876574,415085,9983535.562903913,415085,,,,,0.5760493052741432
Sacramento,69.85125988721772,81.45538801610311,122183.08202415468,1.3982014018055617,49.957938675369356,74.93690801305404,17641.739783459114,1413.0147860308737,1219.827292,1723634,24928039.165336832,1723634,.,509.14420760475986,621068,8982189.622818658,621068,,,,,0.3603247557196017
Salt Lake City,64.533357950474,73.63082092404174,110446.2313860626,1.3874547008609153,46.512046779207324,69.768070168811,15291.964925869797,1418.9468389746553,719.719,1021243,21698485.293274246,1021243,.,731.0589271646295,526157,11179327.472945517,526157,,,,,0.5152123441727385
San Antonio,70.32926978564988,78.44122099660329,117661.83149490492,1.2491587964112882,56.30130451604635,84.45195677406953,22406.256646553687,1136.9073371227814,1546.484874,1758210,25473837.578922976,1758210,.,464.39186834232174,718175,10405283.386650631,718175,,,,,0.40846940922870417
San Diego,74.20890235679654,85.35836948386564,128037.55422579846,1.387483914467795,53.48451364588343,80.22677046882515,20220.341809117563,1558.6954968295993,1896.936256,2956746,31517355.722226817,2956746,.,580.5803945791629,1101324,11739534.02606302,1101324,,,,,0.3724783934771536
San Francisco1,72.54220040456146,85.18341725224566,127775.1258783685,1.3798353964556946,52.57308269587555,78.85962404381333,19537.063013936207,2419.4675820015173,1356.171095,3281212,47269290.60973951,3281212,.,1303.5176804148005,1767793,25466907.062043916,1767793,,,,,0.5387622012841596
San Jose1,67.91398003597122,78.19454265262493,117291.8139789374,1.353868833118102,50.162894938321465,75.2443424074822,17786.789886461072,2247.211920874815,740.693828,1664496,39970686.26695092,1664496,.,1157.0664795656971,857032,20580498.35670226,857032,,,,,0.5148897924657074
Seattle,59.237163329958236,69.52987656850078,104294.81485275118,1.3877189496448212,42.6867150190027,64.03007252850405,12880.059231456777,1169.1810890127867,2616.697301,3059393,15059121.67878383,3059393,.,548.6931940699853,1435764,7067200.83951862,1435764,,,,,0.46929701414627023
South Florida,59.3962086848502,72.01367449916108,108020.51174874163,1.2208577984067597,48.65120963503143,72.97681445254715,16730.914366154837,1715.2084870415904,3207.994271,5502379,28697006.316794846,5502379,.,567.6160386135552,1820909,9496735.33489943,1820909,,,,,0.33093122084102167
St. Louis,55.946693712217225,67.15525630651524,100732.88445977286,1.286841212715055,43.47598845872952,65.21398268809428,13360.764847835972,899.0472029916936,2392.205874,2150706,12011958.26627667,2150706,.,488.93826936569087,1169641,6532589.242102878,1169641,,,,,0.5438404877282158
Tampa Bay,65.03700942892235,76.22383170739074,114335.74756108613,1.2582428496249867,51.68875741936965,77.53313612905447,18885.329859140926,985.1457564595692,2478.587543,2441770,18604802.570071876,2441770,.,376.1138082989228,932231,7103033.334302853,932231,,,,,0.38178493469900937
Washington2,60.64773014173051,74.54500532214232,111817.50798321348,1.2618164588235785,48.06382871108991,72.09574306663487,16329.358257283424,1339.8831695910785,3423.26115,4586770,21879432.299157165,4586770,.,692.4774056457832,2370531,11307711.641864173,2370531,,,,,0.5168192431711204
