,2010 Rank,,,,,,,,1990 Rank,,,,,,,,Difference in Rank,,,,,,,,Rank of Gain in Rank,,,,,
Area,10,20,30,40,50,60,,,10,20,30,40,50,60,,,10,20,30,40,50,60,,,10,20,30,40,50,60
Atlanta,51,51,37,15,9,9,,Atlanta,44,42,22,11,11,11,,Atlanta,7,9,15,4,-2,-2,,Atlanta,18,17,4,12,35,35
Austin,31,29,35,37,37,37,,Austin,39,38,48,48,48,48,,Austin,-8,-9,-13,-11,-11,-11,,Austin,29,34,46,49,49,49
Baltimore,18,16,10,18,18,18,,Baltimore,20,11,10,17,17,17,,Baltimore,-2,5,0,1,1,1,,Baltimore,26,21,24,16,18,18
Boston,20,18,9,6,4,4,,Boston,13,5,3,6,6,6,,Boston,7,13,6,0,-2,-2,,Boston,18,14,14,23,35,35
Buffalo,30,27,45,45,45,45,,Buffalo,4,19,38,38,38,38,,Buffalo,26,8,7,7,7,7,,Buffalo,7,18,11,6,5,5
Charlotte,47,44,30,34,34,34,,Charlotte,7,10,33,33,33,33,,Charlotte,40,34,-3,1,1,1,,Charlotte,2,1,34,16,18,18
Chicago,14,13,5,3,3,3,,Chicago,14,6,4,2,3,3,,Chicago,0,7,1,1,0,0,,Chicago,25,19,21,16,23,22
Cincinnati,44,41,23,24,24,24,,Cincinnati,24,16,24,24,24,24,,Cincinnati,20,25,-1,0,0,0,,Cincinnati,9,5,30,23,23,22
Cleveland,34,32,18,26,26,26,,Cleveland,8,2,9,15,15,15,,Cleveland,26,30,9,11,11,11,,Cleveland,7,3,8,1,1,1
Columbus,15,12,26,30,30,30,,Columbus,11,7,31,31,31,31,,Columbus,4,5,-5,-1,-1,-1,,Columbus,23,21,37,30,29,30
Dallas-Fort Worth,17,17,7,5,5,5,,Dallas-Fort Worth,33,29,12,8,8,8,,Dallas-Fort Worth,-16,-12,-5,-3,-3,-3,,Dallas-Fort Worth,40,38,37,38,42,42
Denver,25,28,16,19,19,19,,Denver,16,8,16,20,20,20,,Denver,9,20,0,-1,-1,-1,,Denver,17,9,24,30,29,30
Detroit,33,31,17,12,13,13,,Detroit,21,13,7,7,7,7,,Detroit,12,18,10,5,6,6,,Detroit,14,11,6,11,8,8
Grand Rapids,23,47,51,51,51,51,,Grand Rapids,18,47,51,51,51,51,,Grand Rapids,5,0,0,0,0,0,,Grand Rapids,22,26,24,23,23,22
