Area,1990,2000,2010,2010-1990,2010-2000
Atlanta,1.3522447679465692,1.3794149811619634,1.3810679080102386,0.028823140063669372,0.0016529268482752268
Austin,1.426150653096147,1.3965836559136842,1.4404458654112589,0.014295212315111883,0.04386220949757469
Baltimore,1.3415278293817852,1.3553895308629194,1.3822949804670155,0.040767151085230324,0.026905449604096132
Boston,1.325648879681454,1.3218966779948818,1.3221707933341669,-0.0034780863472871903,0.0002741153392851192
Buffalo,1.2477771132817665,1.2781328461764727,1.2726128167623416,0.024835703480575066,-0.0055200294141311
Charlotte,1.3646366473808837,1.3850358656052615,1.3548292070349812,-0.00980744034590253,-0.030206658570280265
Chicago,1.3161081482175765,1.3268247325815479,1.3236002256090809,0.00749207739150437,-0.0032245069724670117
Cincinnati,1.3893578112622955,1.4218194575187977,1.4101242469920043,0.02076643572970882,-0.011695210526793343
Cleveland,1.2715517925951088,1.2874615484699874,1.2785144324718047,0.006962639876695986,-0.008947115998182653
Columbus,1.3154052160541856,1.3211732291308345,1.3249637252937287,0.009558509239543156,0.0037904961628942857
Dallas,1.3709373164482086,1.3489383096006093,1.3824701219183075,0.011532805470098939,0.033531812317698195
Denver,1.3838943275761848,1.359087374496782,1.3957008737903487,0.011806546214163882,0.03661349929356672
Detroit,1.2961889465742875,1.3076805956202735,1.3026208565751525,0.00643191000086496,-0.005059739045121026
Grand Rapids,1.3348754820096862,1.333044375428845,1.3210528558171648,-0.013822626192521392,-0.011991519611680213
Virginia Beach,1.3770423338795401,1.4488158168802765,1.404082410081675,0.027040076202134777,-0.044733406798601605
Hartford,1.300294615138489,1.3193656310596753,1.3288885485099737,0.028593933371484637,0.00952291745029843
Honolulu,1.3987003867957324,1.3897112960764897,1.4170125027894218,0.018312115993689426,0.027301206712932125
Houston,1.3897486026643189,1.3702791459157309,1.4112669682919152,0.021518365627596348,0.04098782237618437
Indianapolis,1.3132675347089213,1.3488678199601605,1.3307390130691796,0.017471478360258308,-0.018128806890980842
Riverside,1.3841718613966598,1.3681548557259369,1.3734377415845354,-0.010734119812124465,0.005282885858598485
Jacksonville,1.381564302212822,1.42088741554895,1.3923352643282094,0.010770962115387528,-0.028552151220740507
Kansas City,1.3497363834314509,1.3468144074036565,1.3476779649684636,-0.002058418462987266,0.0008635575648070493
Las Vegas,1.3162005811729707,1.3370217985664918,1.3286382614132926,0.01243768024032188,-0.008383537153199283
Los Angeles,1.2967211649778432,1.3204750649321098,1.3492227990003094,0.052501634022466215,0.028747734068199637
Louisville,1.4461618303699983,1.4104777673151672,1.415233679267091,-0.030928151102907364,0.004755911951923819
Memphis,1.3673423853224496,1.3956795616705349,1.3836709660756512,0.01632858075320165,-0.012008595594883653
Milwaukee,1.2642401733175872,1.2891527648949177,1.259277972938473,-0.004962200379114101,-0.029874791956444602
Minneapolis,1.3432337036137816,1.3631972364714742,1.367956699688347,0.024722996074565406,0.004759463216872817
Nashville,1.3962975386380219,1.4676806157574025,1.4297597712771255,0.03346223263910364,-0.037920844480276994
New Orleans,1.3868608857534024,1.3950623483411841,1.416322547079509,0.029461661326106725,0.021260198738324965
New York,1.328551985698463,1.3553383712449574,1.3157627494011674,-0.012789236297295448,-0.03957562184378993
Oklahoma City,1.3110975612258597,1.3557576382913992,1.3330075580666654,0.021909996840805634,-0.022750080224733793
Orlando,1.3848661716333772,1.372930149175,1.4073453796667255,0.02247920803334824,0.03441523049172557
Philadelphia,1.2841177547554121,1.317034391104741,1.2908066509637137,0.006688896208301598,-0.026227740141027356
Phoenix,1.3377242090881898,1.3654756153734526,1.344427913754184,0.006703704665994126,-0.02104770161926872
Pittsburgh,1.3964819567172002,1.4225893665687803,1.4115605231076185,0.015078566390418269,-0.011028843461161841
Portland,1.5132631454535335,1.497231860923961,1.5301276739734433,0.016864528519909827,0.0328958130494823
Providence,1.3175246716287143,1.3248231024651607,1.3413795461632436,0.02385487453452928,0.016556443698082957
Raleigh,1.331121646463061,1.3721700809670998,1.3599560158886321,0.02883436942557105,-0.012214065078467673
Rochester,1.2967935188849744,1.2868299509717198,1.3054372101690606,0.008643691284086152,0.018607259197340742
Sacramento,1.45615193554944,1.4784314673911618,1.4338792967235054,-0.022272638825934443,-0.04455217066765638
Salt Lake City,1.3613500876534124,1.4171473677066153,1.3973954385618328,0.036045350908420426,-0.01975192914478252
San Antonio,1.4519665174020164,1.4440798318595534,1.4317823771593792,-0.02018414024263726,-0.012297454700174182
San Diego,1.419982051802556,1.4163798747179295,1.4519495177769537,0.03196746597439759,0.035569643059024214
San Francisco,1.4123371408549048,1.4261474874002367,1.4529772069649314,0.040640066110026574,0.02682971956469471
San Jose,1.4096310284707418,1.4495576335346807,1.3990667972183513,-0.010564231252390588,-0.050490836316329446
Seattle,1.4456563048025668,1.4004286301414794,1.4725838457083096,0.026927540905742786,0.07215521556683013
Miami,1.32034652628619,1.3347515525831062,1.336871859668785,0.016525333382594987,0.0021203070856787853
St. Louis,1.4333416134240047,1.4418817166593685,1.443560196227148,0.010218582803143361,0.001678479567779556
Tampa Bay,1.3536513388843285,1.367675641952371,1.3634427948695305,0.009791455985201925,-0.004232847082840552
Washington,1.435547886324772,1.4414267455336287,1.428075576367832,-0.0074723099569400375,-0.013351169165796817
,,,,,
Average,1.3617528287824285,1.3745532392872435,1.3744978068284666,0.012744978046037903,-5.543245877727992e-05
10 minute circuity numbers,,,,,
