,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban Area,Population,,Population,,Peak Period,Commuters,Freeway,,Arterial Street,,Public Transportation,,Cost Components,,,,Congested,Congested ,Number of Rush,Annual Excess Fuel Consumed,,,,Annual Hours of Delay,,,,Travel Time Index,,Commuter Stress Index,,Freeway Planning Time Index,,,,Excess CO2 Due to Congestion,,,,Truck,Truck,Annual Congestion Cost,,,,Annual Effects of Operations Treatments,,,Condition if Public Transportation Service were Discontinued,,,Roadway 
,,Group,Year,(000),Rank,Travelers,(000),Daily Vehicle-,Lane-miles,Daily Vehicle-,Lane-miles,Annual,Annual Unlinked,Value of Time,Commercial,Average State,Average State,Travel,System,Hours (time when ,Total Gallons,,Gallons per ,,Total Delay,,per Auto,,,,,,95th Percentile,,80th Percentile,,Congested CO2,,CO2 per Peak ,,Congestion,Commodity,Total Dollars,,per Auto,,Delay Reduction,Delay Reduction,Congestion Cost,Annual Delay,Annual Delay,Annual Congestion,Congestion
,,,,,,(000),,Miles of Travel,,Miles of Travel,,Passenger-miles,Passenger Trips,($/hour),Value of Time,Gasoline Cost,Diesel Cost,(% of Peak VMT),(% of lane-miles),system may be,(000),Rank,Auto Commuter,Rank,(000),Rank,Commuter,Rank,Value,Rank,Value,Rank,Value,Rank,Value,Rank,Pounds (million),Rank,Auto Commuter,,Cost ($mil),Value ($mil),(million),Rank,Commuter ($),Rank,(1000 hours),per Auto Commuter,Savings ($million),Increase,Increase per Auto,Cost Increase,Index
LEFT,,,,,,,,(000),,(000),,(million),(million),,($/hour),($/gallon),($/gallon),,,congested),,,,,,,,,,,,,,,,,,,(pounds),Rank,,,,,,,,(hours),,(1000 hours),Commuter (hours),($million),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All 4,All 498 Area Average,498,2011,452.0140562248996,,248.83333333333334,223.83734939759037,3724.0461847389556,266.56626506024094,4022.9417670682733,831.4779116465863,112.5,22,16.79,86.81,3.4,3.75,55,43,4.25,5791.536144578313,,19,,11084.748995983935,,38,,1.18,,1.29,,3.09,,1.65,,113.24497991967871,,380,,54.299196787148595,15000,243.34939759036143,,818,,751.5060240963855,3,17.03614457831325,1736.9477911646586,6,41.76706827309237,0.99
101 A,101 Area Average,101,2011,1717.7524752475247,,943.7227722772277,839.3762376237623,15677.782178217822,1050.148514851485,14739.09900990099,2876.4455445544554,511.40891089108914,95.78712871287132,16.790000000000003,86.81000000000002,3.4077020674749074,3.7686428816723394,62.82803908069548,49.51940184336147,4.869198969436266,22021.47524752475,,20.181172143025,,47254.56435643564,,43.30556818295238,,1.2290800574850147,,1.3321281531718479,,3.54,,1.8209917421134536,,426.16831683168317,,384.5358946230881,,222.43564356435644,59690.50495049505,1023.8118811881188,,921.6344808688132,,3342.2772277227723,3.318215239196166,72.22673267326732,8305.534653465347,8.245740786612721,180.56534653465351,1.06
Very ,Very Large Area Average,Vlg,2011,6158.733333333334,,3309.3333333333335,2816.8,55317.73333333333,3175.6,50187.46666666667,9329.266666666666,2880.173333333333,531.7933333333334,16.79,86.80999999999999,3.4537582792127774,3.8203284830194786,76.96667905152226,56.90375829816919,6.004482085559132,90936.26666666666,,23.833489903072408,,195831.13333333333,,52.47888857332197,,1.2673679654336152,,1.3196873139902108,,4.08,,2.03,,1747.2666666666667,,464.1553827219831,,932.8666666666667,208893.13333333333,4254.066666666667,,1127.7292581507295,,16473.066666666666,4.873457666698224,356.32666666666665,49464.8,14.633863485752155,1076.54,1.2
Large,Large Area Average,Lrg,2011,1609.25,,909.84375,843.8125,15487.34375,1125.03125,14205.46875,2785.34375,200.22812499999998,40.21875,16.79,86.81,3.3528805582158987,3.702076849405896,55.3682372628056,46.0739520296368,4.269974057273961,18265,,16.650618472705723,,39747,,37.2338972041957,,1.2000212277802922,,1.2503501373438437,,3.12,,1.66,,359.4375,,328.66803598593833,,181.59375,63077,855.875,,780.2271056844793,,2193.9375,2.1666913561958374,47.065625,2524.03125,2.4926857269831864,54.29999999999999,0.99
Mediu,Medium Area Average,Med,2011,673.7272727272727,,376.3333333333333,352.72727272727275,5853.636363636364,498.24242424242425,6394.060606060606,1385.4242424242425,48.41818181818182,9.763636363636365,16.789999999999996,86.80999999999999,3.382216372156546,3.7491620935537666,36.91707779322767,34.86387051121547,2.9116797468417066,6633.69696969697,,14.466825270948982,,13516.272727272728,,29.47640761300555,,1.148430106835175,,1.170370013904902,,2.66,,1.4653605114665837,,128.75757575757575,,277.79566481628336,,62.333333333333336,18665.78787878788,292.969696969697,,627.9109172614328,,491.57575757575756,1.161368843069874,10.745454545454546,372.1818181818182,0.8792955326460482,8.036363636363635,0.86
