,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2
Atlanta,1.3810679080102386,1.3087124907830403,1.2678601947095567,1.2411800167011908,1.2210426501549614,1.2084405776911233,1.1994894097934046,1.1933849385737794,1.1877771935320718,0.322857046288611,0.26904382245419817,0.23733059339813076,0.21606255347955483,0.1997051250303554,0.189330749651404,0.18189597440778696,0.17679375542437675,0.17208365581928947,-0.06961719957635606,0.47766959869124426,1.6123126851485563,0.9908723233976942,-0.08875490511172227,1.5760524284626454,0.9870670447554664,0.8522967533164684,0.8379161748906037
Austin,1.4404458654112589,1.3723222910878397,1.3315156958904781,1.3069706181282645,1.2879992795041273,1.2747371883868555,1.2686558801685661,1.2630063192455665,1.2582890434326388,0.3649526944206365,0.316504407758289,0.286317914328903,0.2677119539978627,0.2530900682907999,0.24274003060794255,0.23795797793788526,0.23349484671733095,0.2297528961413647,-0.06266477461757869,0.5037072452162067,1.6548448284956179,0.9875127606070896,-0.08398279146006438,1.6243859002198606,0.9838477611072143,0.8414190918053216,0.828604065908756
Baltimore,1.3822949804670155,1.3092658889264803,1.2716628995034032,1.2476796419595966,1.2338763577562017,1.2261163596071283,1.2246097283275779,1.2268115098360695,1.233741596511127,0.32374514719098996,0.26946659000336637,0.24032541368127783,0.22128553984712462,0.21016072415543255,0.20385174296722927,0.2026222041160505,0.20441853521270115,0.21005150040385806,-0.05439367557115308,0.4343867163285641,1.5440158488182545,0.9152204743492363,-0.07038242612316245,1.5239595962836048,0.9105310702436832,0.6872412819342666,0.6782631335417391
Boston,1.3221707933341669,1.2579493722607327,1.225852846145757,1.2078231024802963,1.195686608276367,1.1905717622441363,1.1860014644783186,1.1822577092208564,1.1792959449191527,0.27927492622711425,0.22948291284260341,0.20363680269655413,0.18881965044535648,0.17872058797799917,0.17443366420756262,0.17058753537942442,0.16742592332486467,0.16491760355886562,-0.0513301242859231,0.38646075703561733,1.4717626396042605,0.9605204985950688,-0.06379039653482241,1.4540209555466572,0.9547556492246411,0.7697068674978819,0.7577482829475993
Buffalo,1.2726128167623416,1.224218672913259,1.2021720891550782,1.1895929057749248,1.1803913897988716,1.1734589731007847,1.1689289949876671,1.1659230811658463,1.1646573299473928,0.24107212308623976,0.20230282247424586,0.18412999487951878,0.17361115260779902,0.16584606975207317,0.15995577455657167,0.15608794068596132,0.15351311762696193,0.1524269063665668,-0.04000662118364232,0.32557462339072574,1.3848261709051384,0.9721811239047664,-0.04851354011907505,1.3742641348041702,0.9680178703545681,0.7966501999432377,0.7870364755388143
Charlotte,1.3548292070349812,1.2718268758603823,1.240603054702388,1.2259980336163547,1.219339743976918,1.2204535484710273,1.2189910044278438,1.2188102793904707,1.2184606076717244,0.30367539991849196,0.24045435177160918,0.21559759583209154,0.20375523361090203,0.19830951878558295,0.1992225507009765,0.19802347100336118,0.1978752021195077,0.19758826501866952,-0.045198212871998315,0.385530654784203,1.4703943862660107,0.8448171057185234,-0.05773004003527477,1.4583019260589372,0.837841772377022,0.5831846174253627,0.5744740435560679
Chicago,1.3236002256090809,1.2622043331825756,1.237014203266307,1.215897633709179,1.2018060236875545,1.1904326141515926,1.182395855959736,1.1765397413486474,1.1715001469840343,0.2803554675164092,0.23285966320170332,0.21270057537055007,0.19548259719545252,0.1838254451264262,0.1743167823621687,0.16754276643547594,0.16257770791664006,0.15828510443223062,-0.055240016904955634,0.4022080923477658,1.4951224238424492,0.9928848605158894,-0.06853431913084575,1.4732233580199199,0.9896597298359846,0.8609905331972476,0.8486672083170135
Cincinnati,1.4101242469920043,1.3346635676863023,1.3006549921101749,1.2806447263853369,1.2719049532677678,1.266293479915514,1.2682519023005123,1.2721393245922437,1.2779855759070877,0.3436778189419214,0.2886792508688089,0.2628679776674434,0.24736364360958926,0.24051573985231475,0.23609411353557103,0.23763949740480475,0.24069999083188975,0.24528506943397269,-0.04558740245555804,0.43012722483886723,1.5374531133306877,0.8573976126164659,-0.060676039546008205,1.524092517449394,0.8529035136722464,0.5965843084046487,0.5900589160640195
Cleveland,1.2785144324718047,1.2210242271152514,1.1941029193577641,1.1762375387586297,1.1657850372312006,1.1590296676460083,1.1538473690936333,1.1513174285753958,1.1498564950576229,0.24569880428281107,0.19969003695895013,0.1773952083727077,0.16232081781978752,0.1533947117821499,0.1475831616538219,0.14310189685460087,0.14090687675313943,0.13963714768221003,-0.04821574155982795,0.3473517663670122,1.4153144978545766,0.9669948426230989,-0.058175786105671215,1.4000070859212657,0.9620193182797964,0.7835055422441689,0.7724464582562252
