Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,Total,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Atlanta,52581,231187,551848,1020889,1641561,2129188,2129188,2129188,2129188,,2129189,52581,178606,320661,469041,620673,487627,0,0,0,,2129188,,123276,36,Atlanta,50,49,41,22,12,8,Atlanta
Austin,89210,363948,580485,580485,580485,580485,580485,580485,580485,,580485,89210,274738,216537,0,0,0,0,0,0,,580485,,115197,41,Austin,29,30,38,40,40,40,Austin
Baltimore,94682,414861,981495,1063684,1063684,1063684,1063684,1063684,1063684,,1063684,94682,320179,566634,82189,0,0,0,0,0,,1063684,,161940,17,Baltimore,24,21,9,19,20,20,Baltimore
Boston,124141,547326,1301384,2377265,3075331,3075331,3075331,3075331,3075331,,3075332,124141,423185,754058,1075882,698066,0,0,0,0,,3075331,,266267,4,Boston,9,7,3,2,3,4,Boston
Buffalo,96551,411771,475627,475627,475627,475627,475627,475627,475627,,475628,96551,315221,63856,0,0,0,0,0,0,,475627,,112818,43,Buffalo,23,22,48,48,48,48,Buffalo
Charlotte,98202,439530,811507,811507,811507,811507,811507,811507,811507,,811507,98202,341328,371977,0,0,0,0,0,0,,811507,,146783,25,Charlotte,22,20,19,30,30,30,Charlotte
Chicago,85240,369423,872200,1599791,2561443,3753371,4189789,4189789,4189789,,4189789,85240,284183,502777,727591,961652,1191928,436418,0,0,,4189789,,199982,7,Chicago,32,29,15,7,5,3,Chicago
Cincinnati,82680,374497,879322,934953,934953,934953,934953,934953,934953,,934953,82680,291817,504825,55631,0,0,0,0,0,,934953,,144132,27,Cincinnati,34,28,13,24,24,24,Cincinnati
Cleveland,133427,590453,1077676,1077676,1077676,1077676,1077676,1077676,1077676,,1077676,133427,457026,487223,0,0,0,0,0,0,,1077676,,196425,8,Cleveland,6,5,6,18,19,19,Cleveland
Columbus,138769,604482,773508,773508,773508,773508,773508,773508,773508,,773508,138769,465713,169026,0,0,0,0,0,0,,773508,,171712,13,Columbus,5,3,25,32,32,32,Columbus
Dallas-Fort Worth,111075,469360,1108972,2043538,2601083,2601083,2601083,2601083,2601083,,2601084,111075,358286,639612,934566,557545,0,0,0,0,,2601083,,228577,5,Dallas-Fort Worth,17,16,5,5,4,5,Dallas-Fort Worth
Denver,102264,405808,915879,1080509,1080509,1080509,1080509,1080509,1080509,,1080510,102264,303545,510071,164630,0,0,0,0,0,,1080509,,160218,19,Denver,20,23,11,17,18,18,Denver
Detroit,77851,331899,778639,1423351,1953268,1953268,1953268,1953268,1953268,,1953268,77851,254048,446740,644712,529917,0,0,0,0,,1953268,,162785,15,Detroit,37,37,23,12,9,10,Detroit
Grand Rapids,126383,530965,530965,530965,530965,530965,530965,530965,530965,,530965,126383,404582,0,0,0,0,0,0,0,,530965,,138471,30,Grand Rapids,8,9,45,45,45,45,Grand Rapids
Virginia Beach,51947,229936,552406,573634,573634,573634,573634,573634,573634,,573635,51947,177990,322470,21228,0,0,0,0,0,,573634,,89396,50,Virginia Beach,51,50,40,41,41,41,Virginia Beach
Hartford,110120,477771,567921,567921,567921,567921,567921,567921,567921,,567921,110120,367651,90150,0,0,0,0,0,0,,567921,,131886,31,Hartford,18,13,39,42,42,42,Hartford
Honolulu,123731,320461,320461,320461,320461,320461,320461,320461,320461,,320461,123731,196730,0,0,0,0,0,0,0,,320461,,95315,49,Honolulu,10,41,51,51,51,51,Honolulu
Houston,74926,304631,720473,1327461,1870780,1870780,1870780,1870780,1870780,,1870781,74926,229706,415842,606988,543319,0,0,0,0,,1870780,,152461,22,Houston,43,44,28,14,10,11,Houston
