Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Atlanta,59477.08721521045,264942.2713664402,635154.7263043784,1178230.3135156177,1902208.4208721535,2003047,2003047,2003047,2003047,,,59477.08721521045,205465.18415122977,370212.45493793814,543075.5872112394,723978.1073565357,100838.57912784652,0,0,0,,2003047,,138019.35486887454,28,Atlanta,51,51,37,15,9,9,Atlanta
Austin,89629.20182256152,394994.60813844245,640563,640563,640563,640563,640563,640563,640563,,,89629.20182256152,305365.40631588094,245568.39186155755,0,0,0,0,0,0,,640563.0000000001,,124202.67056303739,38,Austin,31,29,35,37,37,37,Austin
Baltimore,107844.65382434858,480844.1843798763,1059610,1059610,1059610,1059610,1059610,1059610,1059610,,,107844.65382434858,372999.5305555277,578765.8156201236,0,0,0,0,0,0,,1059610,,176269.48324821214,16,Baltimore,18,16,10,18,18,18,Baltimore
Boston,104250.40889285425,460666.41566524137,1091487.3728502777,1998785.56319561,2902747,2902747,2902747,2902747,2902747,,,104250.40889285425,356416.00677238713,630820.9571850363,907298.1903453323,903961.43680439,0,0,0,0,,2902747,,229568.77023933156,8,Boston,20,18,9,6,4,4,Boston
Buffalo,94459.4843653832,408300.72257317597,455704,455704,455704,455704,455704,455704,455704,,,94459.4843653832,313841.23820779275,47403.27742682403,0,0,0,0,0,0,,455704,,110107.16376560077,43,Buffalo,30,27,45,45,45,45,Buffalo
Charlotte,73877.55677749596,335340.20105000935,727384,727384,727384,727384,727384,727384,727384,,,73877.55677749596,261462.6442725134,392043.79894999065,0,0,0,0,0,0,,727384.0000000001,,121549.13456318824,40,Charlotte,47,44,30,34,34,34,Charlotte
Chicago,115890.25842025383,509754.7180200428,1194135.840622757,2197285.816908533,3514243.515003902,3797772,3797772,3797772,3797772,,,115890.25842025383,393864.459599789,684381.1226027142,1003149.9762857761,1316957.6980953687,283528.4849960981,0,0,0,,3797771.9999999995,,261023.2607317397,4,Chicago,14,13,5,3,3,3,Chicago
Cincinnati,76612.18468576526,342081.02710721525,810458.7075444091,874547,874547,874547,874547,874547,874547,,,76612.18468576526,265468.84242145,468377.68043719383,64088.29245559091,0,0,0,0,0,,874547,,133123.9530899795,30,Cincinnati,44,41,23,24,24,24,Cincinnati
Cleveland,85324.05483703171,374191.7300651068,870158,870158,870158,870158,870158,870158,870158,,,85324.05483703171,288867.6752280751,495966.2699348932,0,0,0,0,0,0,,870158,,141652.9918730416,26,Cleveland,34,32,18,26,26,26,Cleveland
Columbus,115722.79781261661,521782.0148570492,750329,750329,750329,750329,750329,750329,750329,,,115722.79781261661,406059.2170444326,228546.98514295078,0,0,0,0,0,0,,750328.9999999999,,154712.86160943093,23,Columbus,15,12,26,30,30,30,Columbus
Dallas,108324.50891921732,472326.2483771451,1125361.1181933056,2077955.4563041641,2510280,2510280,2510280,2510280,2510280,,,108324.50891921732,364001.73945792776,653034.8698161605,952594.3381108586,432324.54369583586,0,0,0,0,,2510280,,228154.15488185335,9,Dallas,17,17,7,5,5,5,Dallas
Denver,99068.50312862972,403945.7227932475,926326.5538876217,1038146,1038146,1038146,1038146,1038146,1038146,,,99068.50312862972,304877.2196646178,522380.83109437424,111819.44611237827,0,0,0,0,0,,1038146,,158015.32385929357,21,Denver,25,28,16,19,19,19,Denver
