Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),Area,Total,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Atlanta,-34978.644388326706,-152737.99077233503,-356158.43315926066,-460892,159780,647407,647407,647407,647407,Atlanta,647408,-34978.644388326706,-117759.3463840083,-203420.44238692563,-104733.56684073934,620673,487627,0,0,0,,647408.0000000001,,-46834.10785074231,42,Atlanta,28,36,45,45,4,2,Atlanta
Austin,-9518.964430651627,-40068,176469,176469,176469,176469,176469,176469,176469,Austin,176469,-9518.964430651627,-30549.035569348373,216537,0,0,0,0,0,0,,176469,,9198.903114789831,13,Austin,14,19,7,19,12,4,Austin
Baltimore,-42607.955078351544,-175131.59403251775,-210318,-128129,-128129,-128129,-128129,-128129,-128129,Baltimore,-128129,-42607.955078351544,-132523.6389541662,-35186.40596748225,82189,0,0,0,0,0,,-128129,,-45742.883525538266,40,Baltimore,33,40,35,13,12,4,Baltimore
Boston,-50368.00644892405,-230329.3153273461,-536580.6055296876,235548,933614,933614,933614,933614,933614,Boston,933615,-50368.00644892405,-179961.30887842202,-306251.2902023415,772129.6055296876,698066,0,0,0,0,,933615,,-42488.6267832173,37,Boston,36,45,47,1,3,4,Boston
Buffalo,-119601.3949883226,-119351,-55495,-55495,-55495,-55495,-55495,-55495,-55495,Buffalo,-55493.99999999997,-119601.3949883226,251.39498832263052,63856,0,0,0,0,0,0,,-55493.99999999997,,-47896.72951904528,43,Buffalo,49,17,24,19,12,4,Buffalo
Charlotte,-104463.57713351652,-165326,206651,206651,206651,206651,206651,206651,206651,Charlotte,206651.00000000003,-104463.57713351652,-60862.42286648345,371977,0,0,0,0,0,0,,206651.00000000003,,-25481.430044107954,28,Charlotte,47,25,2,19,12,4,Charlotte
Chicago,-83573.12277656634,-367421.9408679459,-862011.9667450499,-1593757.1380783948,-1279894,-87966,348452,348452,348452,Chicago,348452,-83573.12277656634,-283848.8180913796,-494590.025877104,-731745.1713333449,313863.1380783948,1191928,436418,0,0,,348452,,-152383.96936819341,48,Chicago,44,49,50,50,8,1,Chicago
Cincinnati,-43721.7133112927,-174470.41532961128,66556,122187,122187,122187,122187,122187,122187,Cincinnati,122187,-43721.7133112927,-130748.70201831858,241026.41532961128,55631,0,0,0,0,0,,122187,,-21910.074564505874,26,Cincinnati,34,39,4,15,12,4,Cincinnati
Cleveland,-67567.23939738882,-288804.2105073766,-164423,-164423,-164423,-164423,-164423,-164423,-164423,Cleveland,-164422.99999999994,-67567.23939738882,-221236.9711099877,124381.21050737659,0,0,0,0,0,0,,-164422.99999999994,,-63743.28296059095,45,Cleveland,40,47,17,19,12,4,Cleveland
Columbus,-36772.69100188781,-73377,95649,95649,95649,95649,95649,95649,95649,Columbus,95648.99999999997,-36772.69100188781,-36604.30899811222,169026,0,0,0,0,0,0,,95648.99999999997,,-8579.624913303975,20,Columbus,30,21,14,19,12,4,Columbus
Dallas-Fort Worth,4008.647188729432,5115.312069266278,2739.500881125685,66932,624477,624477,624477,624477,624477,Dallas-Fort Worth,624478,4008.647188729432,1107.6648805368459,-2375.811188140651,64192.499118874315,557545,0,0,0,0,,624478,,14637.726870102302,10,Dallas-Fort Worth,10,16,33,14,5,4,Dallas-Fort Worth
Denver,-54058.64612955024,-232624.63000827772,-49033,115597,115597,115597,115597,115597,115597,Denver,115598,-54058.64612955024,-178564.98387872748,183591.63000827772,164630,0,0,0,0,0,,115598,,-36976.02539148064,34,Denver,37,44,11,10,12,4,Denver
