Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),Area,Total,,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area,
Atlanta,-28082.557173116256,-118982.71940589481,-272851.7068548823,-303550.68648438226,420427.4208721535,521266,521266,521266,521266,Atlanta,521266,,-28082.557173116256,-90900.16223277853,-153868.9874489875,-30698.979629499954,723978.1073565357,100838.57912784652,0,0,0,,521266.0000000001,,-32090.772673281775,33,Atlanta,28,35,43,44,3,2,Atlanta,
Austin,-9099.76260809011,-9021.391861557553,236547,236547,236547,236547,236547,236547,236547,Austin,236547,,-9099.76260809011,78.3707465325715,245568.39186155755,0,0,0,0,0,0,,236547,,18204.497776684737,13,Austin,20,22,6,15,10,3,Austin,
Baltimore,-29445.30125400296,-109148.40965264145,-132203,-132203,-132203,-132203,-132203,-132203,-132203,Baltimore,-132203.00000000006,,-29445.30125400296,-79703.10839863849,-23054.590347358608,0,0,0,0,0,0,,-132203.00000000006,,-31413.87201985458,32,Baltimore,29,33,37,15,10,3,Baltimore,
Boston,-70258.5975560698,-316988.8996621047,-746477.2326794099,-142931.43680439005,761030,761030,761030,761030,761030,Boston,761030,,-70258.5975560698,-246730.30210603488,-429488.33301730524,603545.7958750199,903961.43680439,0,0,0,0,,761029.9999999999,,-79187.02618459352,45,Boston,41,48,50,3,1,3,Boston,
Buffalo,-121692.9106229394,-122821.27742682403,-75418,-75418,-75418,-75418,-75418,-75418,-75418,Buffalo,-75417.99999999999,,-121692.9106229394,-1128.3668038846226,47403.27742682403,0,0,0,0,0,0,,-75417.99999999999,,-50607.63449196836,41,Buffalo,47,24,23,15,10,3,Buffalo,
Charlotte,-128788.02035602056,-269515.79894999065,122528,122528,122528,122528,122528,122528,122528,Charlotte,122528.00000000006,,-128788.02035602056,-140727.77859397006,392043.79894999065,0,0,0,0,0,0,,122528.00000000004,,-50715.22521997464,42,Charlotte,48,42,2,15,10,3,Charlotte,
Chicago,-52922.86435631251,-227090.2228479031,-540076.1261222928,-996262.3211698616,-327093.4849960981,-43565,-43565,-43565,-43565,Chicago,-43565,,-52922.86435631251,-174167.3584915906,-312985.9032743898,-456186.19504756876,669168.8361737635,283528.4849960981,0,0,0,,-43565.00000000007,,-91342.53186358864,48,Chicago,38,46,48,50,4,1,Chicago,
Cincinnati,-49789.52862552744,-206886.38822239602,-2307.292455590912,61781,61781,61781,61781,61781,61781,Cincinnati,61781,,-49789.52862552744,-157096.85959686857,204579.0957668051,64088.29245559091,0,0,0,0,0,,61781.000000000015,,-32917.809358232764,34,Cincinnati,37,44,11,13,10,3,Cincinnati,
Cleveland,-115670.18456035711,-505065.48044226976,-371941,-371941,-371941,-371941,-371941,-371941,-371941,Cleveland,-371940.99999999994,,-115670.18456035711,-389395.2958819126,133124.48044226976,0,0,0,0,0,0,,-371940.99999999994,,-118514.73817137069,49,Cleveland,46,50,16,15,10,3,Cleveland,
Columbus,-59818.8931892712,-156076.98514295078,72470,72470,72470,72470,72470,72470,72470,Columbus,72469.99999999994,,-59818.8931892712,-96258.09195367963,228546.98514295078,0,0,0,0,0,0,,72469.99999999996,,-25579.220182996953,31,Columbus,40,36,8,15,10,3,Columbus,
Dallas,1258.1561079467501,8081.560446411371,19128.619074431248,101349.45630416414,533674,533674,533674,533674,533674,Dallas,533674,,1258.1561079467501,6823.404338464607,11047.058628019877,82220.83722973289,432324.54369583586,0,0,0,0,,533674,,14214.916869589335,15,Dallas,17,21,28,11,5,3,Dallas,
Denver,-57254.14300092052,-234486.90721503022,-38585.44611237827,73234,73234,73234,73234,73234,73234,Denver,73234,,-57254.14300092052,-177232.7642141097,195901.46110265196,111819.44611237827,0,0,0,0,0,,73234.00000000001,,-39178.83606660067,35,Denver,39,47,13,10,10,3,Denver,
